t,L,a,b
0.0,174.49947097804096,148.04600944195917,152.97534943292558
0.04,174.5076135850364,148.05850797245373,152.96101324720485
0.08,174.53261683341685,148.07747232689226,152.95577871413633
0.12,174.52446185163873,148.06122423724932,152.96423687808982
0.16,174.4900166440827,147.92429107963792,153.04893607806014
0.2,174.5045137019781,147.9220450565837,153.05022924284893
0.24,174.48194828578323,147.9036685043219,153.06529554074706
0.28,174.49471287410515,147.91715083003854,153.05488834852338
0.32,174.5167647368193,147.972670292478,153.14642461591768
0.36,174.50811476373443,147.9672748872348,153.15957900989363
0.4,174.52807528817775,147.98109751947482,153.14946262506265
0.44,174.55781189092866,147.98953093386297,153.27988664699078
0.48,174.54306733737988,147.96872273680694,153.30448152754315
0.52,174.5568157209239,147.98285473861364,153.29519425315092
0.56,174.58947895977576,147.96883410985097,153.37181272003912
0.6,174.58605114497678,147.96153917546823,153.3772266874563
0.64,174.5887364728157,147.98581849906262,153.35124583124508
0.68,174.5401159517136,147.87036796416265,153.7092049820875
0.72,174.52964688557657,147.85762812540605,153.71251523645117
0.76,174.53264777037353,147.86670502849293,153.70755294860135
0.8,174.6038832068012,147.83804503183413,153.90506066737203
0.84,174.5942741880596,147.81897549174292,153.91645784220916
0.88,174.59213953804937,147.82880725657256,153.91097581348728
0.92,174.5959942828504,147.76448313626491,154.09269949696508
0.96,174.5728410644788,147.74428749095094,154.10978907182945
1.0,174.56404259400193,147.75808537362562,154.0987507656897
1.04,174.49403844844974,147.63433754694682,154.33804193813847
1.08,174.46756878832315,147.62375710776578,154.35005166471765
1.12,174.36662768610125,147.46600337831566,154.57691236797655
1.16,174.39828856755705,147.44579535821902,154.59093918413058
1.2,174.37163947308176,147.42796948378594,154.60571467463603
1.24,174.3832779561809,147.44805994344725,154.59297483587943
1.28,174.48692294841572,147.42348981246016,154.77526775935996
1.32,174.49115512408812,147.3950401871067,154.79126835334955
1.36,174.50636373198697,147.4156194506834,154.78769822854986
1.4,174.6108873337912,147.40242793235944,154.9059516517241
1.44,174.60030689461016,147.37964595746786,154.92601117442874
1.48,174.61054702726784,147.41517395850735,154.90015406604422
1.52,174.70982372122089,147.37181272003912,155.06697232379855
1.56,174.71183462340443,147.3492411164529,155.081655003434
1.6,174.7172238412563,147.3814959874767,155.06514704335504
1.64,174.7273959126093,147.30921488191365,155.38480624184038
1.68,174.7267214869539,147.29272548400868,155.40635073846516
1.72,174.7327789430698,147.3044877149345,155.40295386062283
1.76,174.76009008841783,147.23156930806402,155.5345596742957
1.8,174.758295744931,147.21558108885714,155.5516925608994
1.84,174.76701996671184,147.24943849423644,155.52735755078302
1.88,174.8273408448264,147.1637059999134,155.74448548747364
1.92,174.80658833429237,147.14813233592585,155.76961248368076
1.96,174.8232324169807,147.15250682159893,155.76723652540852
2.0,174.8211967652318,147.0957622556754,155.9151708648117
2.04,174.81617879086,147.09170951435166,155.91106862435728
2.08,174.83212369832754,146.94537152191265,156.14149945241587
2.12,174.81323977997636,146.95489391717558,156.11772130751953
2.16,174.80388444427945,146.92736002573955,156.1556128920486
2.2,174.8098552769167,146.9362141827384,156.16355750252137
2.24,174.83117702745346,146.81520737042055,156.45351722260378
2.28,174.8404457396717,146.79519115945527,156.4949046832365
2.32,174.83683230313267,146.79304413466238,156.52561270642684
2.36,174.83452440616512,146.69733137811767,156.72414753215898
2.4,174.85379813017033,146.69567315724018,156.7009819390047
2.44,174.85124273754943,146.69754174942304,156.73871265135907
2.48,174.8823776907418,146.6385078487059,156.86703914762498
2.52,174.90446049041265,146.61584962164102,156.8949752194977
2.56,174.92004652918283,146.639231773492,156.88785971946368
2.6,174.91554829568307,146.58944183542778,157.00350825088634
2.64,174.894517352539,146.57106528316598,157.01405156571937
2.68,174.90619295998613,146.58586552323675,157.00669475742333
2.72,174.97241042204195,146.58829098063964,157.01851267487115
2.76,174.9752071229249,146.55428507786831,157.04204951150547
2.8,174.98706216472073,146.58803729759495,156.97895668207326
2.84,175.05430054634667,146.65492299791484,156.74978808184682
2.88,175.05973307593786,146.635971018259,156.75488030491465
2.92,175.0777321973283,146.6729035571313,156.7208372777953
2.96,175.17068537733806,146.7012913085714,156.5658369374888
3.0,175.16368125034805,146.68368818022634,156.57164071056002
3.04,175.2141765510243,146.78266787939538,156.30618306016
3.08,175.23078969675595,146.7678367023679,156.3167201876017
3.12,175.21910171452615,146.74630458052582,156.33309821246263
3.16,175.23636453634782,146.75629103013878,156.3252649750339
3.2,175.26570514605336,146.812973722149,156.29295441748803
3.24,175.25392435295356,146.79741243294416,156.3003297879581
3.28,175.25831740080065,146.830057109622,156.25986424863413
3.32,175.30188282318292,146.8997147612595,156.02138981184143
3.36,175.27708994610782,146.87167969112542,156.0387021327938
3.4,175.29703809576844,146.90541334867805,156.00327313001566
3.44,175.29499006923692,146.9741305168328,155.85392806538837
3.48,175.29355459444744,146.94443103842988,155.87790420680736
3.52,175.3475828955754,146.98922775168762,155.8511128023314
3.56,175.29496531967158,147.07768888558894,155.58048868016755
3.6,175.28983597225573,147.05531527852543,155.59674914459316
