t,L,a,b
0.0,112.91279684071122,150.3522262754529,154.4301901406094
0.04,112.25464594259924,151.16052944860658,154.20755064280627
0.08,109.74012602731868,151.89009901463467,154.6348291507499
0.12,108.58301260751288,152.2796506040801,154.74384565000167
0.16,108.22576866624276,152.71285994999067,154.5968488389327
0.2,106.672285942408,153.20248277642582,154.65824651823235
0.24,105.41730771989042,153.33805537361172,154.63481480773186
0.28,104.47133308790836,153.54490320853313,154.54555103484876
0.32,102.68001443863818,153.9460057085212,154.56860743637677
0.36,102.85370838731886,154.05058065318104,154.53243673533785
0.4,102.81326585740172,154.0744450447263,154.51981248894393
0.44,103.49084437347308,153.98401709687752,154.50630853744244
0.48,102.60102265718751,153.80975420848054,154.58848924990798
0.52,100.30276915868636,153.23402546363806,155.1282074574132
0.56,98.4049129617854,153.08275443318783,155.16346498630242
0.6,96.89152853543445,152.7908835777224,155.454881646196
0.64,95.6695344734439,152.62043354162583,155.55033204086803
0.68,96.16282911250184,152.2435994281917,155.55903347182314
0.72,96.49028738627182,151.95271585046925,155.70635061029543
0.76,98.0280860198603,151.53768867045002,155.82142942517964
0.8,101.51426174095552,150.72889305367636,155.6810112783932
0.84,104.94059839071338,150.21417711714898,155.83644417458322
0.88,109.97226777458512,149.53412203995964,155.9864410669293
0.92,118.5562485358169,148.1278130244166,155.7414957855432
0.96,129.25401006879866,146.0767016795674,155.9642811040299
1.0,145.98357724432375,143.6642562427986,155.8897571727043
1.04,156.45476929255454,142.2663617978495,155.98712475079006
1.08,159.66330482260076,141.80360105373373,156.3330663938306
1.12,160.72975841576584,141.7952653697391,156.25839425131835
1.16,161.2990543170094,141.70581274711824,156.2609042794785
1.2,161.20107237965013,141.74368787680305,156.23196724054677
1.24,161.25812173397526,141.73864391545268,156.23262940988042
1.28,161.29277685610606,141.67784625240844,156.31932817303417
1.32,161.2553057214299,141.72103068927763,156.26998580041212
1.36,161.24449347631727,141.6903342401308,156.30053881937835
1.4,161.1602617122695,141.71969439809524,156.28687948518126
1.44,161.17425332638493,141.71407193501656,156.2867838650609
1.48,161.1577349505883,141.7088486859405,156.29007319720216
1.52,161.12183198588647,141.7096399424367,156.28675278852177
1.56,161.11342219629856,141.7157691921534,156.2851989615655
1.6,161.13295977739637,141.70782076964636,156.30000812771024
1.64,161.1556480414609,141.71382332270358,156.2955331060762
1.68,161.15869593279817,141.71472693284122,156.29160790013435
1.72,161.16386898131103,141.72050716911852,156.28871300098967
1.76,161.1438509091083,141.7902548754309,156.0608048345533
1.8,161.09530457398847,141.89963473114014,155.81595517328756
1.84,161.06154349998326,141.91806550934447,155.79428048249912
1.88,161.03291722644278,141.94649098063215,155.72879982405897
1.92,161.04404501795267,141.9402804538131,155.72319409450137
1.96,161.09884012793972,141.87148655820158,155.7558770516492
2.0,161.01212463126492,141.67066279086444,155.76237682933242
2.04,161.00372679419203,141.67111220543026,155.7630939802353
2.08,161.0579314499357,141.6731297899704,155.76062459062635
2.12,161.11754581399018,141.67516649853462,155.7646525881976
2.16,161.1212487031521,141.67147795239077,155.76962961546369
2.2,161.1333159623448,141.6631327063841,155.7718838598018
2.24,161.16433273889493,141.8094195380592,155.35155215360416
2.28,161.15909036579478,141.97609736040658,154.96694412438265
2.32,161.17403579061107,141.98808334249694,154.94286936857253
2.36,161.18655724537558,142.0179980971596,154.87239733984825
2.4,161.1704715506237,142.00559377704258,154.90269457499247
2.44,161.30687126185092,141.97364231381567,154.85149478153193
2.48,161.23588527497955,141.96619828744363,154.8636337558149
2.52,161.23372426025884,141.96554089911598,154.85983763703558
2.56,161.24020491391798,141.96781187697516,154.8576335932607
2.6,161.28883013563714,141.991575867394,154.85469327455883
2.64,161.2812857081387,142.00010996313844,154.85060790491536
2.68,161.28294710773042,141.991575867394,154.8608512103117
2.72,161.2492099387553,142.16074220337444,154.46406834926205
2.76,161.2214227317712,142.31528105143883,154.17209709267024
2.8,161.24567916581006,142.3214963592639,154.15482570842556
2.84,161.25990983022646,142.3421216192311,154.1080077069817
2.88,161.2498027835017,142.33288710610486,154.11254727219702
2.92,161.2503239131578,142.35396656164392,154.09143434961584
2.96,161.20932439603942,142.41056650140322,153.96974818441296
3.0,161.20227241216097,142.42105841911254,153.96714492663546
3.04,161.24055392735738,142.42174927448232,153.96704691601207
3.08,161.24424008299826,142.39857573830685,153.9929360636065
3.12,161.24862187501495,142.3930799718877,153.9962325672568
3.16,161.24219620292502,142.41386778605954,153.9762981626594
3.2,161.2270953954131,142.64379592753906,153.5192817972758
3.24,161.20128035341196,142.7713173105885,153.26069391521364
3.28,161.26531714803428,142.7958414809644,153.23141742485453
3.32,161.30569991537618,142.77902429229158,153.20680002486122
3.36,161.2796745091102,142.77623696578237,153.21104555820637
3.4,161.329695784587,142.8564216082348,153.00460410879657
3.44,161.26842480194682,142.85573792437404,153.01138357533193
3.48,161.26525499495605,142.85192029106764,153.0120409636596
3.52,161.258054799891,142.85408130578836,153.0042455333451
3.56,161.17827415244716,142.90281170963993,152.98474141928943
3.6,161.16595349993543,142.90916088563355,152.9852745014606
3.64,161.1542663307213,142.92545216364428,152.96846926530282
3.68,160.97521048379,143.15506953973255,152.50626072738226
3.72,160.9104398047437,143.34557828658308,152.15226787020524
3.76,160.93630982831408,143.34344595789847,152.1512423444141
3.8,160.9396660945396,143.33829442391269,152.18988243506195
3.84,160.94623997781613,143.3152953944569,152.2133858606528
3.88,160.95611275524595,143.32909576833157,152.18954776464062
3.92,160.72130081611772,143.38468691582082,152.05542620278158
3.96,160.67581432485022,143.37996806287978,152.06206462963937
4.0,160.72703802334087,143.38927429109634,152.0596191450605
4.04,160.7720607570245,143.3789281940706,152.0838110355181
4.08,160.7646262926645,143.37959275390727,152.08320862875965
4.12,160.77085355300463,143.38396020290588,152.0848580758363
4.16,160.86863707861409,143.49787962383044,151.74151012856126
4.2,160.86090380137787,143.58562781780543,151.54385616821492
4.24,160.79980015394838,143.62641697065897,151.50142713029675
4.28,160.82858420068752,143.61286999010332,151.46932028437425
4.32,160.80772228092235,143.59036101376452,151.49646444604875
4.36,160.91255061890124,143.6294194424391,151.34446909318658
4.4,160.8980474371417,143.63293587236626,151.34995768809674
4.44,160.911006353957,143.60920056798352,151.37443643891547
4.48,161.01268161846616,143.6416946753936,151.3590487710424
4.52,161.06299931631614,143.6253077772625,151.38771807363705
4.56,161.05506045582112,143.64229469164903,151.38806708707645
4.6,161.0523783114443,143.64532823996825,151.3828964290666
4.64,161.1120954671282,143.68739631193196,151.045111182295
4.68,161.09021280257792,143.74329822481246,150.80509272761174
4.72,161.09476910131428,143.7426671320179,150.78588981693528
4.76,161.14418557952965,143.7358709319615,150.7354000028686
4.8,161.15941069319803,143.72198449997848,150.75198770325252
4.84,161.1924928643485,143.74190695206084,150.72897433077867
4.88,161.0768953103112,143.732770449558,150.63868264160143
4.92,161.06000162554204,143.71654849613455,150.6500375308973
4.96,161.1020075444275,143.71877883544255,150.65086942594462
