t,L,a,b
0.0,170.0145610330348,141.9687880773805,154.32762931139106
0.04,169.61186436563995,141.94551324061263,154.2675137746062
0.08,169.44335056676132,141.8544090875992,154.30468943420956
0.12,169.28432243501055,141.83748634675598,154.28880798077623
0.16,169.148290007039,141.86991189106533,154.22869244399135
0.2,169.01252457583922,141.79275953299836,154.2722833078473
0.24,169.10625500618946,141.77807228330784,154.289982766572
0.28,169.09584213209058,141.8146799679604,154.28167431248332
0.32,169.07587320080586,141.819964076798,154.27094589674508
0.36,169.09799752421176,141.81042015582904,154.27873006626373
0.4,169.0261559746596,141.81192504672444,154.2934828515255
0.44,169.019772324571,141.82758319376683,154.28506274424137
0.48,169.0349134687735,141.84142576276122,154.27882230151218
0.52,168.96358406757446,141.7846889487609,154.31871161921407
0.56,168.9116993130901,141.7583436491177,154.32753464889925
0.6,168.96617150901722,141.7706546275395,154.32274084322435
0.64,168.9136144081167,141.82484040874778,154.27787082210733
0.68,168.84892109031773,141.7988519138814,154.28966965217603
0.72,168.85582659773294,141.79161144687978,154.3007791451249
0.76,168.94750600742736,141.76357435860095,154.32702007330275
0.8,168.91674312483312,141.78709920143692,154.31410956576616
0.84,168.97998495109104,141.80516031942523,154.28909682273843
0.88,168.88789048277872,141.78591713391103,154.30275006674918
0.92,168.8903541348091,141.77858928614774,154.3092162431127
0.96,168.99146338503363,141.81904415155708,154.25506929779849
1.0,169.03760770892498,141.8087744848176,154.26763513677517
1.04,169.01292749824026,141.8037428092915,154.26571518726183
1.08,169.04969052646908,141.788499720867,154.27910871623098
1.12,169.1624893808102,141.7784339425714,154.28756037767906
1.16,169.09452899342216,141.78289036141655,154.270069661885
1.2,169.13197164979732,141.7901623825821,154.26654773174107
1.24,169.13259787858928,141.7911696885847,154.27456006213743
1.28,169.11704895749898,141.78726668123014,154.26650404136024
1.32,169.14933372169227,141.80042234034806,154.24882642782592
1.36,169.13618048981772,141.78560159227166,154.29065025850142
1.4000000000000001,169.10929634214423,141.77552853224591,154.2973203233088
1.44,169.18254083836987,141.7967839025219,154.28227626884149
1.48,169.08249714798902,141.8057744120003,154.2710866768611
1.52,168.98059176193598,141.79816257676157,154.27447753586253
1.56,169.00431806597248,141.7924342823855,154.28074710551226
1.6,169.04248646811817,141.77510861914124,154.29685914706667
1.6400000000000001,169.02508556032913,141.77771305128766,154.29505813247894
1.68,169.07482220442245,141.78512585256922,154.29447073958104
1.72,169.0995096968373,141.77798004805942,154.32104420010194
1.76,169.0343406393359,141.762321901017,154.3366829291973
1.8,168.94120002912692,141.7815335323673,154.33025801597125
1.84,168.84803271924076,141.80851719701934,154.32048350688123
1.8800000000000001,168.79690769193428,141.80036651375033,154.3414767348722
1.92,168.70313599844656,141.84508119129106,154.32646180732542
1.96,168.6493312944489,141.8293939173281,154.34146945314205
2.0,168.63085511784266,141.833874608607,154.33522901041286
2.04,168.67041190320154,141.83018277142648,154.3397703827763
2.08,168.99351683293284,141.83013665380227,154.31724556421273
2.12,168.86689968203112,141.742600548557,154.37235612514866
2.16,168.91937911114348,141.77756741668486,154.35024636520305
2.2,169.08198014514915,141.80450981819948,154.32750552197868
2.24,168.96876137770334,141.75091628437585,154.36178062574334
2.2800000000000002,168.9877351392024,141.78429330809,154.344537488774
2.32,168.86834146459864,141.81113133813926,154.30045146726863
2.36,168.8747785140416,141.78924973907132,154.32536712056117
2.4,168.9585596737785,141.84241607806015,154.29644408844874
2.44,168.8576009126435,141.8013155659118,154.31914609577902
2.48,168.75240418456758,141.78677637806743,154.33459549989078
2.52,168.8572174081895,141.80783271438628,154.3248986625889
2.56,168.98267676399914,141.79415034345493,154.323070948324
2.6,168.89439064054952,141.769686157431,154.33160028156024
2.64,168.97615961552464,141.7965581688876,154.3319400956334
2.68,168.9612709046336,141.81573824607392,154.32360251462413
2.72,168.8667589019151,141.78807738051896,154.3346027816209
2.7600000000000002,168.84779484938954,141.7973348867691,154.32947401635963
2.8000000000000003,168.50692977984903,141.93246195296,154.23301536445058
2.84,168.48445350615307,141.8843903978252,154.28622539382025
2.88,167.56029758003834,142.2346537537319,154.20699774266365
2.92,167.1955775625622,142.21552950314327,154.23038908711376
2.96,166.41844704968568,142.29442704920024,154.19581057792664
3.0,165.1005145755965,142.39689555571738,154.21356100876235
3.04,161.93219738343163,142.70795407655527,154.36316172722638
3.08,159.40581567513775,142.91659749023034,154.3854778028593
3.12,156.85160562149568,143.12830893953736,154.38581518968908
3.16,153.5637102842302,143.48742930653657,154.56493846938034
3.2,152.59244156411563,143.5155028034661,154.58233694992597
3.24,152.7050316755261,143.49942231607562,154.60163353479453
3.2800000000000002,154.1546275395034,143.3319061142261,154.57206242869972
3.3200000000000003,155.3528702152965,143.24498895604262,154.57287312798854
3.36,156.62999587368625,143.1533362460254,154.548027864754
3.4,158.8687905046239,142.94312968761378,154.39701691788636
3.44,159.7622296657686,142.86090681812667,154.40080827204542
3.48,160.4763562222384,142.82876283404937,154.40557780528653
3.52,161.1627903589893,142.7674992111459,154.35452559528144
3.56,161.14367339013083,142.74941139348041,154.3819267457948
3.6,160.55509842471903,142.80767737080998,154.37091191533776
3.64,158.75901842277725,142.76650404136024,154.97455520765067
3.68,157.1504793805675,142.7872229908493,155.26127090463362
3.72,155.5343187941455,142.9280176703318,155.2880943712226
3.7600000000000002,153.3490327435132,143.25741644214665,155.3341027694847
3.8000000000000003,151.83917570814825,143.35743100560694,155.3315201825287
3.84,147.7765601106823,143.82103449112842,155.55488968178838
3.88,144.06329522561228,144.16137042161216,155.70256802349573
3.92,140.6763465132649,144.55444306900654,155.69565280710697
3.96,136.82149566737056,145.01438384426805,155.78161120415544
4.0,133.0688875943591,145.43054443069008,155.92933080900022
4.04,130.40299521833055,145.76205247700187,155.9690283744751
4.08,128.31231340566518,145.9703560766038,156.00724046700162
4.12,126.32533071191048,146.1611543969514,156.2825481201
4.16,125.77422752979442,146.07869608485643,156.68807495327556
4.2,125.585584601568,146.07428578363553,156.73631641544696
4.24,126.63234787252118,145.84563460278162,156.82043496201365
4.28,127.53230175489696,145.75471249302169,156.8155392121168
4.32,128.49547561834027,145.6709289060414,156.8327143862715
4.36,129.26986820068447,145.55924901089833,156.82081846646764
4.4,129.71104881186437,145.56659870385204,156.82055389693926
4.44,131.2030000728173,145.38110633753246,156.86380251947864
4.48,134.84969780819924,144.92668511371636,156.77200660210198
4.5200000000000005,137.16612053690625,144.69411393480425,156.79529842957353
4.5600000000000005,138.68435641641787,144.50359960193208,156.80155829024977
4.6000000000000005,140.3713852277968,144.22221413141096,156.9562732105148
4.64,140.69331051724558,144.08470836670793,157.2350833758101
4.68,141.01427947280274,144.04911769703148,157.24543314158112
4.72,141.52120197092162,143.95604019515036,157.26613752760989
4.76,141.41962426272482,143.95244059321828,157.26343115124155
4.8,139.91283283574845,144.14179713099833,157.43334304230686
4.84,138.14485060316997,144.35766644821476,157.42264860797593
4.88,136.6028811378917,144.51634262967548,157.40016505254982
4.92,134.5530838127139,144.74639190271608,157.34386271511445
4.96,131.61985727808928,145.11499550959974,157.4931139105318
5.0,130.29826937547028,145.27938784921963,157.476858661618
5.04,128.65411053666352,145.45215903298623,157.45239447559408
5.08,126.08855069297799,145.7021869462851,157.85996262045197
5.12,124.9433894026554,145.7539115027064,158.08929828393894
5.16,123.94706910361901,145.8481103910289,158.0854171217748
5.2,122.93062695696497,145.9536687783684,158.2023083084541
5.24,122.90144663705429,145.93126046748708,158.17527609893443
5.28,122.8371149785189,145.94375348916236,158.15832423117067
5.32,121.61184009320614,146.07611592514382,158.27661108279327
5.36,121.20233258088788,146.09563096191656,158.27288040971868
5.4,121.29112114371708,146.07081482560255,158.26522002961238
5.44,123.14245248671084,145.77333430423067,158.18491225515183
5.48,124.57252360494186,145.60111895919803,158.20117478579579
5.5200000000000005,126.87753343527756,145.35707177358674,158.23330663365616
5.5600000000000005,130.27118619383967,144.7534309085172,158.54128012815846
5.6000000000000005,131.84032379426685,144.5133741110221,158.76525158377632
5.64,133.16970557537803,144.35868103594748,158.80974538216947
5.68,134.6181460715066,144.15268331755624,158.8108303599602
5.72,134.85158134906186,144.15346003543775,158.81132309036627
5.76,136.30512391077454,143.90749290031312,158.7898031505619
5.8,136.50879147552126,143.87889511881357,158.8127794363941
5.84,137.23544503507367,143.79955338721814,158.83603485521493
5.88,137.96357921308768,143.7607806014709,158.84127770091507
5.92,139.9198038787349,143.49415277069832,158.81844704968566
5.96,140.35765916648464,143.45166387533678,158.8172722638899
6.0,140.6085099152892,143.41216534381903,158.81479647564262
6.04,140.68064516129033,143.23516590208501,159.11067987087065
6.08,140.48020340299522,143.16308162819485,159.33080657297506
6.12,139.88438068885168,143.2500497584893,159.30549042452486
6.16,138.8341270419185,143.39223524842836,159.33961989368674
6.2,138.83617078084418,143.3847229301682,159.34069758974732
6.24,138.95474890167236,143.38820602441808,159.3302652977014
6.28,139.83604699143183,143.19467220078158,159.42208306026845
6.32,140.1467632709532,143.1686205975873,159.41955144542342
6.36,140.54733367314742,143.14294521711693,159.4187892910022
6.4,141.7049467220078,143.16515206679773,159.3530352678463
6.44,141.8551760965072,143.2610670161897,159.3280783514163
6.48,142.2477293138183,143.25074880458263,159.3268695842132
6.5200000000000005,143.59955338721812,142.92500546129762,159.66826622005388
6.5600000000000005,143.65792616325638,142.76335105221,159.96664239423288
6.6000000000000005,143.16952838661132,142.82442777737324,159.9509575475133
6.640000000000001,139.99119396101847,143.24292094468314,160.06728804097187
6.68,137.97173717808684,143.47998980557782,160.02028932741086
6.72,135.40347581251973,143.7911308526906,160.1437486346756
6.76,134.74127770091508,143.86928566227337,160.11799800966043
6.8,135.33079443675817,143.82249083715624,160.13869996844585
6.84,136.93480909730818,143.66663268525934,160.1967256486808
6.88,141.35688973033325,143.05454744047185,160.02315590184227
6.92,144.28976674191122,142.72216801378676,160.11913153231873
6.96,149.03231389111386,142.1448942935508,160.18856768368164
7.0,157.4828927886599,140.92215587756985,160.32099080074758
