t,L,a,b
0.0,183.9095827008364,263.3892237402149,105.91227639372563
0.04,183.8553591094443,263.47145578474266,105.92160758401047
0.08,183.77942226984555,263.43699586272584,105.94372265380838
0.12,183.75918980861383,263.48691847486384,105.90350328898414
0.16,183.4203500312528,263.6422001964461,106.10648272167158
0.2,183.37203470547965,263.62168497187247,106.12007768550764
0.24,183.4132363008602,263.6440381581689,106.10515075750811
0.28,183.459371372444,263.69301574545347,106.06749114504272
0.32,183.4337217608715,263.6712578504033,106.08319195166236
0.36,183.456796737804,263.70256272881505,106.05641128672202
0.4,183.51073012471352,263.81694050064,105.99991814745364
0.44,183.44780039884515,263.7508854957288,106.08004434919783
0.48,183.5328154299491,263.751957019972,106.10626692859482
0.52,183.5116825907075,263.7878009941364,106.15145697532516
0.56,183.48322022799653,263.7511087299461,106.186199660684
0.6,183.131410542608,263.68587225049856,106.55422359139207
0.64,183.13448373366668,263.68445843378873,106.55414917998633
0.68,183.09701759085632,263.6499538649284,106.58217251540316
0.72,183.12485489775872,263.6763327082775,106.56112152870791
0.76,183.16094442956216,263.74135339464834,106.4856758043873
0.8,183.1279132065363,263.72379974402475,106.50264904604578
0.84,183.14727505432032,263.74877221180463,106.4732118939191
0.88,183.103900645891,263.8202815727595,106.4461559067774
0.92,183.060414620353,263.7990371164092,106.47325654076256
0.96,183.05335297794448,263.83793195821056,106.44021787659612
1.0,182.96547310771797,263.8837693841712,106.52193648242402
1.04,182.93951840938175,263.8578444503973,106.54461707890586
1.08,182.95633538708813,263.8987484001548,106.51437628359676
1.12,182.6757299758907,263.92149596690183,106.79864273595857
1.16,182.50622079352323,263.8509241896598,106.83180045837426
1.2,182.54001101288804,263.863722951454,106.82698604042028
1.24,182.5686445218323,263.9252165371908,106.7563696163348
1.28,182.5394603684853,263.90221597166413,106.77494270321756
1.32,182.5720748876388,263.9246807750692,106.7566002916927
1.36,182.5744709349049,264.0127764383725,106.73029585974938
