t,r,g,b
0.0,73.18918105517274,75.04216194510312,74.64415941350761
0.03348624858407991,73.13305701207072,74.99217533697541,74.61494194590655
0.06697249716815983,72.98199277437395,75.13114208379345,74.56933536939304
0.10045874575223973,72.7533249379349,75.10004453489032,74.5152624729072
0.13394499433631965,72.78698800885081,75.15561239360727,74.56681183068578
0.16743124292039957,72.75639809392872,75.21043516017184,74.54911531143375
0.20091749150447946,72.70751246116633,75.17932300857044,74.50168645434741
0.23440374008855938,72.70572516395588,75.18996594786843,74.47582876386898
0.2678899886726393,72.75597329245865,75.22697111232296,74.52362353190219
0.3013762372567192,72.6681123152986,75.21205895414471,74.45764023429831
0.33486248584079914,72.64132832402048,75.26750267100537,74.36188427602234
0.36834873442487903,72.59331682189368,75.23146354603959,74.36067604847727
0.4018349830089589,72.63378430855956,75.26719345199861,74.43209540184628
0.43532123159303887,72.52998957651462,75.14191867815268,74.27892411641503
0.46880748017711876,72.4283709010667,75.04625987831936,74.19486205745824
0.5022937287611987,72.31419679795458,74.95218266388856,74.13538956668609
0.5357799773452786,72.2951763243602,74.84712785004511,74.04906439887569
0.5692662259293585,72.20278538030138,74.72698142897262,73.99920662790818
0.6027524745134384,72.14290173528734,74.6870770929335,73.94051862006634
0.6362387230975184,72.0699361529041,74.65987438825408,73.90611717611111
0.6697249716815983,72.14548137712579,74.71379346563808,73.97031854555001
0.7032112202656782,72.1188603684406,74.69286011632877,73.95704861942285
0.7366974688497581,72.09466880696752,74.65259636244761,73.95357521342925
0.770183717433838,72.04987050121626,74.58951055816578,73.85051699526515
0.8036699660179178,72.02399152226872,74.56714252345516,73.82536465409895
0.8371562146019979,72.07662837098425,74.55412880822468,73.8281073493235
0.8706424631860777,72.14469386925923,74.63832249437024,73.89412851616979
0.9041287117701576,72.13020618098118,74.63341542036994,73.88106160707191
0.9376149603542375,72.2480482220976,74.72829212342133,73.99006678158038
0.9711012089383174,72.33468931401818,74.81176074968614,74.08245597999245
1.0045874575223974,72.50113209803405,74.7487183908413,74.08539988786109
1.0380737061064773,72.53052469597844,74.69635068706833,74.05875835379062
1.0715599546905572,72.53877472866564,74.71492900555586,74.07807370936814
1.105046203274637,72.48888081250627,74.70805466213483,74.06907802590398
1.138532451858717,72.5748503598977,74.78360336858857,74.1776562462468
1.1720187004427969,72.56592298353695,74.83992767621385,74.21751763774854
1.2055049490268768,72.59348301892413,74.8401714548441,74.22701776712346
1.2389911976109567,72.66418562363995,74.90647463070201,74.26933706652625
1.2724774461950368,72.69475086372212,74.91801406619356,74.253299834746
1.3059636947791167,72.71111372537706,74.94591002485664,74.25143941354813
1.3394499433631966,72.6806792656964,74.90750433492715,74.19953708821971
1.3729361919472765,72.63370793753562,74.85033424097857,74.14241360927144
1.4064224405313563,72.61927159833598,74.81001109671797,74.10476088835063
1.4399086891154362,72.61762790340654,74.83326639925156,74.10053448686239
1.4733949376995161,72.63125918289458,74.82637006139055,74.09136880081141
1.506881186283596,72.61771368318651,74.82969621433816,74.06094420487824
1.540367434867676,72.53087956491784,74.7643742857812,73.97577780566053
1.5738536834517558,72.48975124879968,74.72225895533347,73.92077443967592
1.6073399320358357,72.44951661912381,74.65276269168042,73.84491055985347
1.6408261806199158,72.4644499580882,74.59114437479708,73.79148783028276
1.6743124292039957,72.44027136672361,74.52745078224942,73.72642037728409
1.7077986777880756,72.41728287880318,74.51010775620561,73.68489112854108
1.7412849263721555,72.50184562584376,74.60216296571065,73.7687560136271
1.7747711749562354,72.63149250647595,74.67466039986863,73.8342319435937
1.8082574235403153,72.63162435621179,74.67133518873337,73.84169457888687
1.8417436721243952,72.7372424972014,74.80047433493559,73.95929371531545
1.875229920708475,72.79814093441802,74.86947697149756,74.03271174081328
1.908716169292555,72.8511280797907,74.90379880812412,74.05287031527166
1.9422024178766348,72.87182170955636,74.95279978136341,74.07906890352018
1.975688666460715,72.91536136206561,74.96744214820018,74.09829698890718
2.009174915044795,73.18635284663978,75.06841047390839,73.91356089122179
2.0426611636288747,73.20849326415464,75.04024849196512,73.92422445227626
2.0761474122129546,73.1681026846356,75.02375753449556,73.9134652666678
2.1096336607970345,73.16423898587976,75.0301690620152,73.89982722917122
2.1431199093811144,73.1394244594846,75.05601831110143,73.90734512808652
2.1766061579651943,73.10332622715455,75.07317021988467,73.92678052883602
2.210092406549274,73.05901963618977,75.07438927902643,73.93284663268189
2.243578655133354,73.04018908830204,75.08160067034362,73.92896942392912
2.277064903717434,73.06886272762243,75.09127223696635,73.93844065263781
2.310551152301514,73.09813998830981,75.10480450474037,73.94557594986786
2.3440374008855938,73.09514052388575,75.0715838181722,73.93622470859019
2.3775236494696737,73.07692165479304,75.04336938335007,73.86613208525588
2.4110098980537535,73.05055751836599,75.03555243118386,73.85777494739281
2.4444961466378334,73.10550639086526,75.05179360940707,73.88401050455545
2.4779823952219133,73.0651881163524,74.98605301415563,73.84797213103998
2.5114686438059937,72.99447128839563,74.93026705134079,73.79800121681727
2.5449548923900736,72.92867504757129,74.87250786537746,73.74326827722135
2.5784411409741534,72.95027639515901,74.90219861145357,73.76108110470791
2.6119273895582333,72.95904570268986,74.87630874588845,73.77975489914743
