t,r,g,b
0.0,181.81081894482725,179.95783805489688,180.35584058649238
0.03348625103962956,181.8669429879293,180.0078246630246,180.38505805409343
0.06697250207925912,182.01800722562604,179.86885791620657,180.43066463060694
0.10045875311888867,182.2466750620651,179.8999554651097,180.48473752709282
0.13394500415851823,182.2130119911492,179.84438760639273,180.43318816931423
0.16743125519814778,182.24360190607126,179.78956483982816,180.45088468856625
0.20091750623777735,182.29248753883365,179.82067699142956,180.4983135456526
0.23440375727740692,182.29427483604414,179.81003405213156,180.524171236131
0.26789000831703647,182.24402670754134,179.77302888767707,180.4763764680978
0.301376259356666,182.3318876847014,179.7879410458553,180.5423597657017
0.33486251039629555,182.3586716759795,179.7324973289946,180.63811572397765
0.36834876143592515,182.40668317810633,179.76853645396042,180.63932395152273
0.4018350124755547,182.36621569144043,179.7328065480014,180.56790459815372
0.43532126351518424,182.47001042348538,179.85808132184732,180.72107588358497
0.46880751455481384,182.5716290989333,179.95374012168062,180.80513794254176
0.5022937655944434,182.6858032020454,180.04781733611145,180.8646104333139
0.5357800166340729,182.7048236756398,180.15287214995487,180.9509356011243
0.5692662676737025,182.79721461969862,180.27301857102736,181.00079337209183
0.602752518713332,182.85709826471265,180.31292290706648,181.05948137993366
0.6362387697529616,182.9300638470959,180.34012561174592,181.0938828238889
0.6697250207925911,182.85451862287422,180.28620653436192,181.02968145444999
0.7032112718322208,182.8811396315594,180.30713988367123,181.04295138057716
0.7366975228718503,182.90533119303248,180.3474036375524,181.04642478657075
0.7701837739114799,182.95012949878372,180.41048944183422,181.14948300473483
0.8036700249511094,182.97600847773128,180.43285747654483,181.17463534590107
0.8371562759907389,182.92337162901575,180.44587119177532,181.1718926506765
0.8706425270303685,182.85530613074076,180.36167750562976,181.10587148383019
0.904128778069998,182.8697938190188,180.36658457963006,181.1189383929281
0.9376150291096277,182.7519517779024,180.27170787657866,181.0099332184196
0.9711012801492572,182.6653106859818,180.18823925031387,180.91754402000754
1.0045875311888868,182.49886790196595,180.2512816091587,180.9146001121389
1.0380737822285162,182.46947530402156,180.30364931293167,180.9412416462094
1.0715600332681459,182.46122527133434,180.28507099444414,180.92192629063186
1.1050462843077755,182.51111918749373,180.29194533786517,180.930921974096
1.138532535347405,182.4251496401023,180.2163966314114,180.82234375375322
1.1720187863870346,182.43407701646305,180.16007232378615,180.78248236225144
1.205505037426664,182.40651698107587,180.1598285451559,180.77298223287653
1.2389912884662937,182.33581437636005,180.093525369298,180.73066293347375
1.2724775395059231,182.30524913627787,180.08198593380646,180.746700165254
1.3059637905455528,182.28888627462294,180.05408997514337,180.74856058645187
1.3394500415851822,182.3193207343036,180.09249566507285,180.80046291178027
1.3729362926248119,182.36629206246437,180.14966575902142,180.85758639072856
1.4064225436644415,182.38072840166402,180.18998890328203,180.89523911164937
1.439908794704071,182.38237209659349,180.16673360074844,180.8994655131376
1.4733950457437006,182.36874081710542,180.17362993860945,180.90863119918862
1.50688129678333,182.38228631681352,180.17030378566184,180.93905579512176
1.5403675478229597,182.46912043508217,180.2356257142188,181.02422219433944
1.5738537988625891,182.51024875120032,180.2777410446665,181.07922556032406
1.6073400499022188,182.5504833808762,180.34723730831956,181.15508944014653
1.6408263009418484,182.5355500419118,180.40885562520293,181.20851216971724
1.6743125519814779,182.5597286332764,180.47254921775058,181.2735796227159
1.7077988030211075,182.58271712119682,180.48989224379437,181.3151088714589
1.741285054060737,182.49815437415623,180.39783703428935,181.2312439863729
1.7747713051003666,182.36850749352405,180.32533960013137,181.1657680564063
1.808257556139996,182.36837564378823,180.32866481126666,181.15830542111314
1.8417438071796257,182.26275750279862,180.19952566506439,181.04070628468457
1.8752300582192554,182.20185906558197,180.13052302850244,180.96728825918672
1.9087163092588848,182.1488719202093,180.09620119187588,180.94712968472834
1.9422025602985145,182.12817829044363,180.0472002186366,180.92093109647982
1.975688811338144,182.0846386379344,180.03255785179982,180.90170301109282
2.0091750623777735,181.8136471533602,179.9315895260916,181.08643910877822
2.042661313417403,181.79150673584536,179.95975150803488,181.07577554772374
2.0761475644570324,181.83189731536442,179.97624246550444,181.0865347333322
2.1096338154966623,181.83576101412024,179.9698309379848,181.1001727708288
2.1431200665362917,181.8605755405154,179.94398168889856,181.09265487191348
2.176606317575921,181.89667377284545,179.92682978011533,181.07321947116395
2.210092568615551,181.94098036381024,179.92561072097357,181.06715336731813
2.2435788196551805,181.95981091169796,179.91839932965638,181.07103057607088
2.27706507069481,181.93113727237755,179.90872776303368,181.06155934736222
2.3105513217344393,181.9018600116902,179.89519549525963,181.05442405013213
2.344037572774069,181.90485947611427,179.9284161818278,181.0637752914098
2.3775238238136986,181.92307834520696,179.95663061664993,181.13386791474412
2.411010074853328,181.949442481634,179.96444756881615,181.1422250526072
2.444496325892958,181.89449360913474,179.94820639059293,181.11598949544455
2.4779825769325874,181.9348118836476,180.01394698584437,181.15202786896003
2.511468827972217,182.00552871160434,180.0697329486592,181.20199878318275
2.5449550790118463,182.0713249524287,180.12749213462254,181.25673172277865
2.578441330051476,182.049723604841,180.09780138854643,181.2389188952921
2.6119275810911056,182.04095429731012,180.12369125411155,181.2202451008526
2.645413832130735,182.0577172021141,180.13860802725665,181.2583463277025
2.6789000831703644,182.04012578224703,180.14123304897794,181.25165803523208
2.7123863342099943,182.18880141288963,180.22536335377063,181.3433652742432
2.7458725852496237,182.1515810322918,180.19050431942853,181.30922149961208
2.779358836289253,182.12443258574217,180.1860668364909,181.29702177508256
2.812845087328883,182.05811064529735,180.16404974739245,181.2718121381003
