t,L,a,b
0.0,173.95831554458326,147.9503214349798,153.193677723535
0.04,173.9824401833943,147.95290776455738,153.1863704143696
0.08,174.00748055612274,147.91265259653878,153.20505014880675
0.12,174.06231940551544,147.9502843106318,153.19432121223372
0.16,174.19288573744424,147.95736887370916,153.16941077472327
0.2,174.21443023406903,147.95741837283984,153.17206516560552
0.24,174.23534361677773,147.94649762713541,153.16240046034193
0.28,174.30800834060352,147.972744541174,153.1333382832464
0.32,174.31220957931927,147.94933763975772,153.15132502985415
0.36,174.35581212604953,147.95096492367853,153.1518633329002
0.4,174.43108792901825,147.9527840167307,153.13801595109487
0.44,174.41210501240573,147.9392212549267,153.14767446896712
0.48,174.4565119200094,147.98892456951225,153.11139779357626
0.52,174.50078889239506,147.9376682197019,153.112245466189
0.56,174.4868239501544,147.9309982118439,153.13252773498166
0.6,174.48502960666752,147.9234681565905,153.1260247866897
0.64,174.50860356764986,147.9174354500399,153.13075814106014
0.68,174.48164510360786,147.9040706847586,153.149598747672
0.72,174.5559432987458,147.94115790841423,153.1241314449415
0.76,174.69632902072158,147.972781665522,153.1127899566264
0.8,174.75130399272362,147.95837123110525,153.12900710931265
0.84,174.63204821215328,147.95324188368943,153.12667446277976
0.88,174.41552045242204,147.965851787228,153.08558399693106
0.92,174.40074496191662,147.95445461239086,153.09422159523322
0.96,174.37980682964255,147.97788007598118,153.06480054944035
1.0,174.39060382752027,147.9606976902468,153.08806514085597
1.04,174.38073493834264,147.93707423013385,153.09902301090838
1.08,174.43096418119157,147.96624778027336,153.08806514085597
1.12,174.47402223748446,147.97558455379627,153.0898037978208
1.16,174.46317574047606,147.9473329249655,153.1115896027076
1.2,174.46700573571178,147.97106157073117,153.09503214349797
1.24,174.45784839653754,147.99456128301748,153.06806130467334
1.28,174.44065363602053,147.95331613238542,153.0904039747802
1.32,174.45411739956316,147.97074601377312,153.07121687425365
1.36,174.4379311838336,147.98057777860276,153.07670509036686
1.4000000000000001,174.43207791163167,147.95592721152835,153.09918388308304
1.44,174.43647714687012,147.9969001169417,153.06720744466926
1.48,174.4436235838608,147.9212283209276,153.09833002307897
1.52,174.4094753710888,147.90846991999703,153.1199735179651
1.56,174.42548833986103,147.9336587901175,153.1056620818097
1.6,174.47581039357996,147.95379256151813,153.08932118129675
1.6400000000000001,174.48255465013395,147.92313403745845,153.10571158094035
1.68,174.4857844684103,147.95087211280853,153.08321422605016
1.72,174.4921512940929,147.96269621764768,153.07742901515292
1.76,174.4575142774055,147.93726603926518,153.08857250694535
1.8,174.46230950568932,147.96205891634028,153.07535623905605
1.84,174.44227473255,147.98583706123662,153.07512111818536
1.8800000000000001,174.44067838558584,147.9551537876116,153.1027849448394
1.92,174.44910561258268,147.92184087266966,153.13403745846713
1.96,174.42334131506814,147.92885118705104,153.13327640933306
2.0,174.40482245280566,147.89592807776313,153.1568194333587
2.04,174.4107190367469,147.91625984568645,153.13722396500413
2.08,174.42093441983926,147.93998230406078,153.11616208490338
2.12,174.394786504062,147.918344996566,153.13312791194105
2.16,174.41530389372537,147.932037693588,153.12600003712436
2.2,174.40273730192612,147.94496934147594,153.09828671133963
2.24,174.3988825571251,147.93363404055216,153.10302625310143
2.2800000000000002,174.4307476224949,147.9535326910821,153.09305836566244
2.32,174.39778738885897,147.9819513794789,153.06046318811525
2.36,174.41178326805635,147.96579610070597,153.07679790123686
2.4,174.41506877285468,147.9877675273328,153.06386625334892
2.44,174.41070666196424,147.9656537907053,153.06520272987706
2.48,174.39646328711353,147.95064936672048,153.07337008643785
2.52,174.40739022020927,147.97096257246983,153.06015381854857
2.56,174.45194562520496,147.948991145843,153.07554186079608
2.6,174.44035045384516,147.93578725273636,153.07894492602975
2.64,174.47039023877144,147.96670564723206,153.05464085287002
2.68,174.4706934209468,147.9878232138548,153.0326508640692
2.72,174.45993354741708,147.9849460768845,153.04974043893355
2.7600000000000002,174.4645307791782,147.99136858908915,153.02776282491538
2.8000000000000003,174.47210414617092,147.98787271298548,153.00823541786548
2.84,174.45679035261944,147.9765002877137,153.01760312834506
2.88,174.48265983578662,147.93676486056714,153.06611846379448
2.92,174.5061162363336,147.9488302736683,153.06472630074435
2.96,174.50135194500646,147.92596167529808,153.0800524690785
3.0,174.50710621894703,147.9356263805617,153.07544286253471
3.04,174.53378006298763,147.94526014886864,153.04302093194488
3.08,174.50404964762805,147.93238418750272,153.04877520588545
3.12,174.4560354908767,147.96748525854014,153.02593754447187
3.16,174.46826177615256,148.00064348869873,152.9996349439113
3.2,174.43017838249216,147.97288066378334,153.027255458826
3.24,174.4403566412365,147.98304036035367,153.01957071878925
3.2800000000000002,174.48251133839463,147.9946045947568,153.00212227522755
3.3200000000000003,174.47616926227732,147.97799144902518,153.01726900921304
3.36,174.4996627871723,148.00790748612476,152.99740129563975
3.4,174.40270636496948,147.98438921166448,153.01079699787772
3.44,174.37949746007587,147.97129669160185,153.0162047779036
3.48,174.3793427752925,147.97325190726337,153.01433618572074
3.52,174.42720843465187,148.0052902195905,152.98752003167945
3.56,174.41274231371312,147.9912139043058,152.9915232738725
3.6,174.43034544205818,148.010302006571,152.9741862033548
3.64,174.49199042191822,148.0829667303968,152.9383612075313
3.68,174.49947097804096,148.04600944195917,152.97534943292558
3.72,174.5076135850364,148.05850797245373,152.96101324720485
3.7600000000000002,174.53261683341685,148.07747232689226,152.95577871413633
3.8000000000000003,174.52446185163873,148.06122423724932,152.96423687808982
3.84,174.4900166440827,147.92429107963792,153.04893607806014
3.88,174.5045137019781,147.9220450565837,153.05022924284893
3.92,174.48194828578323,147.9036685043219,153.06529554074706
3.96,174.49471287410515,147.91715083003854,153.05488834852338
4.0,174.5167647368193,147.972670292478,153.14642461591768
4.04,174.50811476373445,147.9672748872348,153.15957900989363
4.08,174.52807528817775,147.98109751947482,153.14946262506265
4.12,174.55781189092866,147.98953093386297,153.27988664699078
4.16,174.54306733737988,147.96872273680694,153.30448152754317
4.2,174.5568157209239,147.98285473861364,153.29519425315092
4.24,174.58947895977576,147.96883410985095,153.37181272003912
4.28,174.58605114497678,147.96153917546823,153.3772266874563
4.32,174.5887364728157,147.98581849906262,153.35124583124508
4.36,174.5401159517136,147.87036796416263,153.7092049820875
4.4,174.52964688557657,147.85762812540605,153.71251523645117
4.44,174.53264777037353,147.86670502849293,153.70755294860135
4.48,174.60388320680119,147.83804503183413,153.90506066737203
4.5200000000000005,174.5942741880596,147.81897549174292,153.91645784220916
4.5600000000000005,174.59213953804937,147.82880725657256,153.91097581348728
4.6000000000000005,174.5959942828504,147.76448313626491,154.09269949696508
4.64,174.5728410644788,147.74428749095094,154.10978907182943
4.68,174.56404259400193,147.75808537362562,154.0987507656897
4.72,174.49403844844974,147.63433754694682,154.33804193813847
4.76,174.46756878832315,147.62375710776578,154.35005166471763
4.8,174.36662768610125,147.46600337831566,154.57691236797655
