Hora,999 [°C],
 17:39:22,19.0,
 17:39:23,18.7,
 17:39:24,18.8,
 17:39:25,19.0,
 17:39:26,19.2,
 17:39:27,18.7,
 17:39:28,18.7,
 17:39:29,18.6,
 17:39:30,18.8,
 17:39:31,18.7,
 17:39:32,18.6,
 17:39:33,18.7,
 17:39:34,18.6,
 17:39:35,18.6,
 17:39:36,18.7,
 17:39:37,18.7,
 17:39:38,18.6,
 17:39:39,18.6,
 17:39:40,18.6,
 17:39:41,18.6,
 17:39:42,18.8,
 17:39:43,18.6,
 17:39:44,18.7,
 17:39:45,18.6,
 17:39:46,18.6,
 17:39:47,18.6,
 17:39:48,18.6,
 17:39:49,18.6,
 17:39:50,18.6,
 17:39:51,18.6,
 17:39:52,18.6,
 17:39:53,21.0,
 17:39:54,24.7,
 17:39:55,27.2,
 17:39:56,30.0,
 17:39:57,32.5,
 17:39:58,34.7,
 17:39:59,36.7,
 17:40:00,38.5,
 17:40:01,40.1,
 17:40:02,41.2,
 17:40:03,42.5,
 17:40:04,43.7,
 17:40:05,44.8,
 17:40:06,45.8,
 17:40:07,46.5,
 17:40:08,47.2,
 17:40:09,47.8,
 17:40:10,48.4,
 17:40:11,49.0,
 17:40:12,49.5,
 17:40:13,49.9,
 17:40:14,50.3,
 17:40:15,50.6,
 17:40:16,51.0,
 17:40:17,51.2,
 17:40:18,51.5,
 17:40:19,51.7,
 17:40:20,51.9,
 17:40:21,52.1,
 17:40:22,52.4,
 17:40:23,52.5,
 17:40:24,52.6,
 17:40:25,53.2,
 17:40:26,52.9,
 17:40:27,53.0,
 17:40:28,53.1,
 17:40:29,53.3,
 17:40:30,53.3,
 17:40:31,53.4,
 17:40:32,53.4,
 17:40:33,53.5,
 17:40:34,53.6,
 17:40:35,53.6,
 17:40:36,53.8,
 17:40:37,53.8,
 17:40:38,53.9,
 17:40:39,53.9,
 17:40:40,53.9,
 17:40:41,53.9,
 17:40:42,53.9,
 17:40:43,54.0,
 17:40:44,54.0,
 17:40:45,54.0,
 17:40:46,54.1,
 17:40:47,54.1,
 17:40:48,54.1,
 17:40:49,54.4,
 17:40:50,54.1,
 17:40:51,54.1,
 17:40:52,54.1,
 17:40:53,54.1,
 17:40:54,54.1,
 17:40:55,54.5,
 17:40:56,54.2,
 17:40:57,54.2,
 17:40:58,54.2,
 17:40:59,54.2,
 17:41:00,54.2,
 17:41:01,54.2,
 17:41:02,54.4,
 17:41:03,54.2,
 17:41:04,52.6,
 17:41:05,50.6,
 17:41:06,48.2,
 17:41:07,46.0,
 17:41:08,44.0,
 17:41:09,42.2,
 17:41:10,40.5,
 17:41:11,38.9,
 17:41:12,37.8,
 17:41:13,36.3,
 17:41:14,35.1,
 17:41:15,34.0,
 17:41:16,32.9,
 17:41:17,31.9,
 17:41:18,31.0,
 17:41:19,30.4,
 17:41:20,29.5,
 17:41:21,28.7,
 17:41:22,28.0,
 17:41:23,27.5,
 17:41:24,26.8,
 17:41:25,26.5,
 17:41:26,25.9,
 17:41:27,25.4,
 17:41:28,25.1,
 17:41:29,24.5,
 17:41:30,24.4,
 17:41:31,23.8,
 17:41:32,23.4,
 17:41:33,23.2,
 17:41:34,22.9,
 17:41:35,22.6,
 17:41:36,22.3,
 17:41:37,22.1,
 17:41:38,21.9,
 17:41:39,21.7,
 17:41:40,21.5,
 17:41:41,21.3,
 17:41:42,21.2,
 17:41:43,21.1,
 17:41:44,20.9,
 17:41:45,20.8,
 17:41:46,20.6,
 17:41:47,20.5,
 17:41:48,20.3,
 17:41:49,20.2,
 17:41:50,20.1,
 17:41:51,20.1,
 17:41:52,20.0,
 17:41:53,20.3,
 17:41:54,19.8,
 17:41:55,19.9,
 17:41:56,19.8,
 17:41:57,19.8,
 17:41:58,19.7,
 17:41:59,19.6,
 17:42:00,19.6,
 17:42:01,19.5,
 17:42:02,19.5,
 17:42:03,19.5,
 17:42:04,19.4,
 17:42:05,19.4,
 17:42:06,19.3,
 17:42:07,19.3,
 17:42:08,19.3,
 17:42:09,19.4,
 17:42:10,19.2,
 17:42:11,19.2,
 17:42:12,19.2,
 17:42:13,19.2,
 17:42:14,19.2,
 17:42:15,19.2,
 17:42:16,19.1,
 17:42:17,19.1,
 17:42:18,19.1,
 17:42:19,19.0,
 17:42:20,19.1,
 17:42:21,19.1,
