t,temp
0,18.1
1,18.1
2,18.1
3,18.1
4,18.1
5,18.1
6,18.1
7,18.1
8,18.1
9,18.1
10,18.1
11,18.1
12,18.1
13,18.1
14,18.1
15,18.1
16,18.5
17,19.7
18,21.5
19,22.4
20,22.2
21,21.8
22,21.7
23,21.5
24,22.1
25,23.4
26,24.0
27,24.5
28,24.5
29,24.3
30,25.3
31,26.2
32,27.4
33,27.0
34,26.7
35,26.2
36,26.5
37,27.2
38,27.1
39,28.0
40,28.8
41,31.1
42,32.2
43,31.6
44,30.7
45,29.9
46,29.2
47,28.6
48,28.2
49,28.4
50,29.7
51,31.0
52,31.8
53,32.5
54,33.4
55,34.9
56,35.4
57,35.1
58,33.9
59,33.0
60,32.9
61,35.4
62,36.5
63,37.7
64,36.8
65,35.8
66,35.9
67,37.0
68,38.2
69,39.0
70,39.0
71,38.7
72,37.4
73,37.6
74,39.4
75,40.6
76,41.7
77,41.4
78,40.9
79,41.2
80,41.6
81,41.6
82,41.0
83,41.2
84,41.9
85,44.0
86,45.2
87,44.8
88,42.7
89,42.9
90,44.6
91,46.6
92,46.9
93,47.4
94,47.1
95,46.7
96,45.0
97,44.6
98,46.0
99,46.4
100,47.3
101,47.7
102,49.6
103,51.5
104,53.3
105,53.9
106,52.3
107,50.2
108,48.6
109,48.6
110,49.1
111,50.9
112,52.7
113,54.4
114,56.0
115,56.4
116,54.8
117,52.5
118,51.6
119,50.5
120,51.0
121,52.9
122,54.7
123,56.3
124,57.0
125,55.3
126,54.7
127,55.0
128,56.6
129,58.1
130,59.6
131,60.9
132,61.5
133,59.5
134,57.2
135,56.4
136,56.6
137,58.1
138,59.7
139,60.4
140,60.2
141,60.2
142,62.0
143,62.0
144,61.7
145,61.7
146,62.7
147,63.9
148,65.1
149,65.5
150,65.0
151,64.0
152,63.4
153,63.7
154,64.4
155,65.6
156,66.8
157,67.9
158,68.9
159,69.2
160,67.9
161,65.4
162,62.8
163,60.4
164,58.6
165,58.6
166,60.2
167,61.4
