Date/Time,999 [°C]
18/6/2025 5:38:24 P.M.,20.2
18/6/2025 5:38:25 P.M.,20.2
18/6/2025 5:38:26 P.M.,20.2
18/6/2025 5:38:27 P.M.,20.2
18/6/2025 5:38:28 P.M.,19.9
18/6/2025 5:38:29 P.M.,18.6
18/6/2025 5:38:30 P.M.,16.0
18/6/2025 5:38:31 P.M.,14.0
18/6/2025 5:38:32 P.M.,13.4
18/6/2025 5:38:33 P.M.,13.9
18/6/2025 5:38:34 P.M.,14.4
18/6/2025 5:38:35 P.M.,15.3
18/6/2025 5:38:36 P.M.,18.1
18/6/2025 5:38:37 P.M.,22.2
18/6/2025 5:38:38 P.M.,24.6
18/6/2025 5:38:39 P.M.,24.6
18/6/2025 5:38:40 P.M.,24.2
18/6/2025 5:38:41 P.M.,23.9
18/6/2025 5:38:42 P.M.,23.6
18/6/2025 5:38:43 P.M.,24.4
18/6/2025 5:38:44 P.M.,27.5
18/6/2025 5:38:45 P.M.,30.6
18/6/2025 5:38:46 P.M.,31.2
18/6/2025 5:38:47 P.M.,30.4
18/6/2025 5:38:48 P.M.,29.7
18/6/2025 5:38:49 P.M.,30.2
18/6/2025 5:38:50 P.M.,32.8
18/6/2025 5:38:51 P.M.,35.5
18/6/2025 5:38:52 P.M.,35.7
18/6/2025 5:38:53 P.M.,34.6
18/6/2025 5:38:54 P.M.,33.7
18/6/2025 5:38:55 P.M.,33.8
18/6/2025 5:38:56 P.M.,35.4
18/6/2025 5:38:57 P.M.,36.8
18/6/2025 5:38:58 P.M.,38.0
18/6/2025 5:38:59 P.M.,39.2
18/6/2025 5:39:00 P.M.,39.6
18/6/2025 5:39:01 P.M.,40.3
18/6/2025 5:39:02 P.M.,42.4
18/6/2025 5:39:03 P.M.,43.7
18/6/2025 5:39:04 P.M.,42.5
18/6/2025 5:39:05 P.M.,41.1
18/6/2025 5:39:06 P.M.,40.7
18/6/2025 5:39:07 P.M.,42.7
18/6/2025 5:39:08 P.M.,46.4
18/6/2025 5:39:09 P.M.,49.3
18/6/2025 5:39:10 P.M.,50.0
18/6/2025 5:39:11 P.M.,48.5
18/6/2025 5:39:12 P.M.,46.8
18/6/2025 5:39:13 P.M.,47.1
18/6/2025 5:39:14 P.M.,49.5
18/6/2025 5:39:15 P.M.,51.3
18/6/2025 5:39:16 P.M.,50.7
