t,temp
0,21.1
1,21.1
2,21.1
3,21.1
4,21.1
5,21.1
6,21.1
7,21.1
8,21.0
9,21.1
10,21.1
11,21.1
12,21.0
13,21.0
14,21.0
15,21.0
16,21.0
17,21.0
18,21.0
19,21.0
20,20.9
21,20.0
22,18.4
23,16.4
24,14.6
25,13.0
26,11.6
27,10.2
28,9.0
29,7.9
30,6.8
31,5.8
32,4.9
33,4.1
34,3.3
35,2.6
36,1.9
37,1.3
38,0.7
39,0.1
40,-0.4
41,-0.8
42,-1.3
43,-1.6
44,-2.0
45,-2.4
46,-2.7
47,-3.0
48,-3.3
49,-3.6
50,-3.9
51,-4.1
52,-4.3
53,-4.6
54,-4.8
55,-5.0
56,-5.1
57,-5.3
58,-5.4
59,-5.6
60,-5.7
61,-5.2
62,-2.5
63,2.1
64,7.4
65,12.1
66,16.4
67,20.1
68,23.5
69,26.7
70,29.5
71,32.0
72,34.3
73,36.4
74,38.3
75,40.1
76,41.8
77,43.3
78,44.7
79,46.0
80,47.2
81,48.3
82,49.3
83,50.3
84,51.2
85,52.0
86,52.7
87,53.5
88,54.1
89,54.7
90,55.3
91,55.9
92,56.4
93,56.9
94,57.3
95,57.7
96,58.1
97,58.5
98,58.8
99,59.1
100,59.4
101,59.6
102,59.9
103,60.1
104,60.3
105,60.5
106,60.7
107,60.9
108,61.0
109,61.2
110,61.4
111,61.5
112,61.6
113,61.8
114,61.9
115,62.1
116,62.2
117,62.3
118,62.3
119,62.4
120,62.5
121,62.6
122,62.0
123,59.8
124,55.9
125,51.2
126,47.1
127,43.5
128,40.1
129,36.8
130,33.8
131,31.1
132,28.4
133,26.0
134,23.8
135,21.7
136,19.7
137,17.9
138,16.2
139,14.5
140,13.1
141,11.7
142,10.4
143,9.2
144,8.1
145,7.1
146,6.1
147,5.2
148,4.4
149,3.7
150,2.9
151,2.3
152,1.7
153,1.1
154,0.6
155,0.1
156,-0.3
157,-0.8
158,-1.1
159,-1.5
160,-1.8
161,-2.2
162,-2.5
163,-2.3
164,-0.8
165,3.1
166,8.3
167,12.9
168,17.0
169,20.7
170,24.2
171,27.2
172,30.0
173,32.6
174,34.9
175,37.1
176,39.0
177,40.9
178,42.5
179,44.0
180,45.5
181,46.8
182,48.0
183,49.1
184,50.2
185,51.1
186,52.0
187,52.8
188,53.6
189,54.2
190,54.9
191,55.5
192,56.1
193,56.7
194,57.2
195,57.6
196,58.1
197,58.4
198,58.8
199,59.2
200,59.4
201,59.7
202,60.0
203,60.3
204,60.5
205,60.7
206,60.9
207,61.1
208,61.3
209,61.5
210,61.6
211,61.8
212,61.9
213,62.0
214,62.1
215,62.3
216,62.4
217,62.5
218,62.6
219,62.6
220,62.7
221,62.8
222,62.8
223,62.9
224,62.7
225,61.2
226,57.6
227,53.1
228,48.9
229,44.9
230,41.4
231,38.2
232,35.2
233,32.2
234,29.6
235,27.1
236,24.7
237,22.6
238,20.6
239,18.8
240,17.0
241,15.4
242,13.9
243,12.4
244,11.1
245,9.9
246,8.8
247,7.7
248,6.7
249,5.8
250,4.9
251,4.2
252,3.4
253,2.7
254,2.1
255,1.6
256,1.0
257,0.5
258,0.0
259,-0.4
260,-0.8
261,-1.2
262,-1.5
263,-1.9
264,-2.2
265,-2.3
266,-1.4
267,1.9
268,6.9
269,11.7
270,15.9
271,19.6
272,21.5
273,21.7
274,21.5
275,21.4
276,21.4
277,21.4
278,21.4
279,21.3
280,21.4
281,21.4
282,21.4
283,21.4
284,21.4
285,21.4
286,21.4
287,21.4
288,21.4
289,21.4
290,21.4
291,21.4
292,21.4
293,21.4
294,21.4
295,21.4
296,21.4
