t,temp
0,18.9
1,18.9
2,18.9
3,18.9
4,18.9
5,18.9
6,18.9
7,18.9
8,18.9
9,18.9
10,20.1
11,23.7
12,27.6
13,29.0
14,28.4
15,27.7
16,27.1
17,26.8
18,28.4
19,30.1
20,30.5
21,30.7
22,32.2
23,34.3
24,35.6
25,36.3
26,35.5
27,34.5
28,33.8
29,34.8
30,36.9
31,39.0
32,40.3
33,40.3
34,39.9
35,39.6
36,40.2
37,42.1
38,45.3
39,46.7
40,46.1
41,44.4
42,43.0
43,42.8
44,44.3
45,46.8
46,50.0
47,52.1
48,52.0
49,50.2
50,48.9
51,48.9
52,50.7
53,53.2
54,55.1
55,54.9
56,53.1
57,52.7
58,54.3
59,56.8
60,59.0
61,59.6
62,58.4
63,57.5
64,58.6
65,60.3
66,61.4
67,62.5
68,62.9
69,62.0
70,61.8
71,63.4
72,65.1
73,66.6
74,66.6
75,66.3
76,66.6
77,68.2
78,69.4
79,70.1
80,70.4
81,70.3
82,69.3
83,66.8
84,64.1
85,61.7
86,60.8
87,60.4
88,59.5
89,57.3
90,56.2
91,55.1
92,54.0
93,53.1
94,53.7
95,53.7
96,53.1
97,51.3
98,50.4
99,50.7
100,50.4
101,49.6
102,48.8
103,48.2
104,46.6
105,45.6
106,45.2
107,44.8
108,43.9
109,43.5
110,43.2
111,42.0
112,40.7
113,39.5
114,38.4
115,37.8
116,39.3
117,41.4
118,41.7
119,40.3
120,39.1
121,38.0
122,37.0
123,36.0
124,35.1
125,34.3
126,33.5
127,32.7
128,32.0
129,31.3
130,30.7
131,30.1
132,29.5
133,29.0
134,28.5
135,28.0
136,27.6
137,27.1
138,26.7
139,26.3
140,25.9
141,25.6
142,25.3
143,24.7
144,23.6
145,22.1
146,21.4
147,21.1
148,20.5
149,19.9
150,20.0
151,19.4
152,18.9
153,17.9
154,16.5
155,15.2
156,15.3
157,15.5
158,14.5
159,13.1
160,12.4
161,12.1
162,11.0
163,10.5
164,10.8
165,11.5
166,11.8
167,11.1
168,9.2
169,7.2
170,6.1
171,5.7
172,6.1
173,6.1
174,5.5
175,4.5
176,4.0
177,3.0
178,2.2
179,1.9
180,1.4
181,0.3
182,0.0
183,-0.2
184,-1.0
185,-2.1
186,-3.2
187,-4.1
188,-4.6
189,-4.8
190,-4.6
191,-5.0
192,-5.8
193,-6.6
194,-7.3
195,-7.9
196,-8.5
197,-9.1
198,-9.5
199,-9.6
200,-9.6
201,-9.7
202,-10.2
203,-10.7
204,-11.1
205,-11.5
206,-11.8
207,-12.1
208,-12.4
209,-12.7
210,-13.0
211,-13.2
212,-13.4
213,-13.6
214,-13.8
215,-14.0
216,-14.1
217,-14.2
218,-14.3
219,-14.5
220,-14.6
221,-14.8
222,-14.9
223,-15.0
224,-15.1
225,-15.2
226,-15.0
227,-13.7
228,-12.2
229,-10.7
230,-9.0
231,-7.2
232,-5.6
233,-4.5
234,-4.6
235,-5.7
236,-5.8
237,-4.8
238,-3.7
239,-2.8
240,-1.5
241,-0.2
242,0.4
243,1.0
244,1.9
245,2.7
246,2.8
247,2.6
248,3.2
249,4.3
250,5.3
251,6.1
252,6.9
253,7.6
254,8.3
255,8.9
256,9.5
257,10.1
258,10.6
259,11.1
260,11.6
261,12.0
262,12.4
263,12.8
264,13.2
265,13.5
266,13.8
267,14.1
268,14.4
269,15.9
270,17.3
271,18.0
272,18.0
273,18.0
274,18.0
275,18.1
276,18.1
277,18.1
278,18.2
279,18.2
280,18.3
281,18.3
282,18.4
283,18.4
284,18.4
285,18.5
286,18.5
287,18.5
288,18.6
289,18.6
290,18.6
