Date/Time,999 [°C]
4/6/2025 4:14:58 P.M.,24.1
4/6/2025 4:14:59 P.M.,24.1
4/6/2025 4:15:00 P.M.,24.1
4/6/2025 4:15:01 P.M.,24.1
4/6/2025 4:15:02 P.M.,24.1
4/6/2025 4:15:03 P.M.,24.1
4/6/2025 4:15:04 P.M.,24.1
4/6/2025 4:15:05 P.M.,24.1
4/6/2025 4:15:06 P.M.,24.0
4/6/2025 4:15:07 P.M.,24.0
4/6/2025 4:15:08 P.M.,24.0
4/6/2025 4:15:09 P.M.,24.1
4/6/2025 4:15:10 P.M.,24.1
4/6/2025 4:15:11 P.M.,24.1
4/6/2025 4:15:12 P.M.,24.1
4/6/2025 4:15:13 P.M.,24.1
4/6/2025 4:15:14 P.M.,24.1
4/6/2025 4:15:15 P.M.,24.0
4/6/2025 4:15:16 P.M.,24.0
4/6/2025 4:15:17 P.M.,24.1
4/6/2025 4:15:18 P.M.,24.2
4/6/2025 4:15:19 P.M.,24.2
4/6/2025 4:15:20 P.M.,24.3
4/6/2025 4:15:21 P.M.,24.3
4/6/2025 4:15:22 P.M.,24.3
4/6/2025 4:15:23 P.M.,24.2
4/6/2025 4:15:24 P.M.,24.1
4/6/2025 4:15:25 P.M.,24.2
4/6/2025 4:15:26 P.M.,24.2
4/6/2025 4:15:27 P.M.,24.2
4/6/2025 4:15:28 P.M.,24.3
4/6/2025 4:15:29 P.M.,24.6
4/6/2025 4:15:30 P.M.,24.8
4/6/2025 4:15:31 P.M.,24.7
4/6/2025 4:15:32 P.M.,24.4
4/6/2025 4:15:33 P.M.,24.2
4/6/2025 4:15:34 P.M.,24.3
4/6/2025 4:15:35 P.M.,24.3
4/6/2025 4:15:36 P.M.,24.3
4/6/2025 4:15:37 P.M.,24.4
4/6/2025 4:15:38 P.M.,24.5
4/6/2025 4:15:39 P.M.,24.6
4/6/2025 4:15:40 P.M.,24.5
4/6/2025 4:15:41 P.M.,24.5
4/6/2025 4:15:42 P.M.,24.4
4/6/2025 4:15:43 P.M.,24.4
4/6/2025 4:15:44 P.M.,24.3
4/6/2025 4:15:45 P.M.,23.9
4/6/2025 4:15:46 P.M.,23.8
4/6/2025 4:15:47 P.M.,23.8
4/6/2025 4:15:48 P.M.,23.9
4/6/2025 4:15:49 P.M.,23.9
4/6/2025 4:15:50 P.M.,24.1
4/6/2025 4:15:51 P.M.,24.2
4/6/2025 4:15:52 P.M.,24.3
4/6/2025 4:15:53 P.M.,24.4
4/6/2025 4:15:54 P.M.,24.6
4/6/2025 4:15:55 P.M.,24.8
4/6/2025 4:15:56 P.M.,24.9
4/6/2025 4:15:57 P.M.,25.0
4/6/2025 4:15:58 P.M.,25.2
4/6/2025 4:15:59 P.M.,25.3
4/6/2025 4:16:00 P.M.,25.5
4/6/2025 4:16:01 P.M.,25.9
4/6/2025 4:16:02 P.M.,26.3
4/6/2025 4:16:03 P.M.,26.6
4/6/2025 4:16:04 P.M.,27.0
4/6/2025 4:16:05 P.M.,27.3
4/6/2025 4:16:06 P.M.,27.6
4/6/2025 4:16:07 P.M.,27.9
4/6/2025 4:16:08 P.M.,28.1
4/6/2025 4:16:09 P.M.,28.3
4/6/2025 4:16:10 P.M.,28.6
4/6/2025 4:16:11 P.M.,28.8
4/6/2025 4:16:12 P.M.,29.1
4/6/2025 4:16:13 P.M.,29.3
4/6/2025 4:16:14 P.M.,29.6
4/6/2025 4:16:15 P.M.,29.9
4/6/2025 4:16:16 P.M.,30.3
4/6/2025 4:16:17 P.M.,30.6
4/6/2025 4:16:18 P.M.,31.0
4/6/2025 4:16:19 P.M.,31.3
4/6/2025 4:16:20 P.M.,31.7
4/6/2025 4:16:21 P.M.,32.0
4/6/2025 4:16:22 P.M.,32.3
4/6/2025 4:16:23 P.M.,32.6
4/6/2025 4:16:24 P.M.,33.0
4/6/2025 4:16:25 P.M.,33.3
4/6/2025 4:16:26 P.M.,33.7
4/6/2025 4:16:27 P.M.,34.1
4/6/2025 4:16:28 P.M.,34.5
4/6/2025 4:16:29 P.M.,34.8
4/6/2025 4:16:30 P.M.,35.3
4/6/2025 4:16:31 P.M.,35.7
4/6/2025 4:16:32 P.M.,36.1
4/6/2025 4:16:33 P.M.,36.6
