t,temp
0,19.0
1,18.9
2,19.0
3,18.9
4,18.9
5,19.0
6,18.9
7,18.9
8,19.0
9,19.0
10,20.2
11,21.9
12,24.1
13,25.4
14,25.7
15,25.0
16,24.5
17,24.3
18,24.9
19,26.7
20,28.2
21,28.9
22,29.2
23,29.4
24,29.4
25,29.6
26,30.8
27,32.4
28,33.5
29,34.1
30,34.2
31,33.8
32,34.5
33,36.1
34,37.4
35,38.0
36,38.0
37,38.0
38,38.0
39,39.1
40,40.9
41,42.0
42,42.4
43,42.3
44,42.3
45,43.1
46,44.2
47,46.1
48,47.1
49,48.0
50,47.7
51,47.1
52,46.5
53,46.6
54,47.6
55,49.5
56,51.0
57,52.5
58,53.1
59,53.4
60,52.8
61,53.4
62,54.6
63,56.3
64,57.2
65,57.3
66,56.8
67,56.8
68,57.1
69,58.6
70,59.7
71,60.9
72,61.8
73,61.6
74,60.6
75,59.1
76,57.8
77,56.7
78,56.1
79,56.4
80,56.5
81,56.1
82,54.8
83,54.1
84,53.0
85,51.8
86,51.7
87,51.2
88,51.1
89,50.9
90,50.3
91,49.7
92,48.8
93,47.8
94,46.9
95,46.5
96,45.8
97,45.1
98,44.8
99,44.4
100,44.0
101,43.6
102,43.1
103,42.4
104,41.7
105,41.2
106,40.6
107,39.8
108,39.1
109,38.7
110,37.9
111,37.2
112,36.4
113,35.7
114,34.7
115,33.7
116,33.5
117,32.5
118,32.0
119,31.5
120,31.0
121,30.3
122,29.8
123,29.2
124,28.1
125,27.1
126,26.5
127,26.0
128,25.4
129,24.8
130,24.0
131,23.3
132,22.8
133,22.5
134,21.6
135,20.5
136,19.8
137,19.3
138,18.7
139,18.1
140,17.5
141,16.8
142,15.8
143,15.0
144,14.6
145,13.9
146,13.4
147,12.9
148,12.2
149,11.2
150,10.5
151,10.1
152,9.7
153,9.0
154,8.2
155,7.3
156,6.6
157,5.7
158,5.1
159,4.5
160,4.1
161,3.6
162,2.9
163,2.1
164,1.2
165,0.6
166,-0.2
167,-0.7
168,-1.3
169,-2.0
170,-2.7
171,-3.3
172,-3.7
173,-4.5
174,-5.1
175,-5.7
176,-6.3
177,-6.8
178,-7.4
179,-7.8
180,-8.2
181,-8.7
182,-9.2
183,-9.6
184,-10.0
185,-10.4
186,-10.8
187,-11.1
188,-11.3
189,-11.6
190,-12.1
191,-12.3
192,-12.7
193,-12.9
194,-13.0
195,-13.2
196,-13.3
197,-13.6
198,-14.0
199,-14.4
200,-14.6
201,-14.7
202,-14.7
203,-14.8
204,-15.0
205,-15.3
206,-15.3
207,-15.0
208,-14.5
209,-13.9
210,-13.1
211,-12.4
212,-11.8
213,-11.3
214,-10.9
215,-10.5
216,-9.7
217,-9.1
218,-8.5
219,-7.7
220,-7.1
221,-6.6
222,-5.9
223,-5.1
224,-4.3
225,-3.4
226,-2.9
227,-2.4
228,-1.9
229,-1.2
230,-0.7
231,0.0
232,0.6
233,1.3
234,1.9
235,2.4
236,3.1
237,3.5
238,4.1
239,4.6
240,5.4
241,6.9
242,8.1
243,9.2
244,9.7
245,9.9
246,10.1
247,10.4
248,11.0
249,12.0
250,13.4
251,14.3
252,15.0
253,15.4
254,15.7
255,16.0
256,16.4
257,17.2
258,17.8
259,18.9
260,20.3
261,21.1
262,21.7
263,21.9
264,22.1
265,22.4
266,23.5
267,24.5
268,25.0
269,25.3
270,25.9
271,26.6
272,28.0
273,28.9
274,29.3
275,29.6
276,29.6
277,30.1
278,31.4
279,32.9
280,33.8
281,34.3
282,34.4
283,34.5
284,34.9
285,36.0
286,37.2
287,38.2
288,39.0
289,39.4
290,39.4
291,40.0
292,40.7
293,41.1
294,41.8
295,43.4
296,44.8
297,45.4
298,45.4
299,45.3
300,45.3
301,45.9
302,47.2
303,48.8
304,50.1
305,50.5
306,50.7
307,50.7
308,50.4
309,50.9
310,52.1
311,53.6
312,54.5
313,55.0
314,55.1
315,55.1
316,55.9
317,57.2
318,58.7
319,59.8
320,60.4
321,60.3
322,60.1
323,60.7
324,61.4
325,61.1
326,60.2
327,59.1
328,58.0
329,57.0
330,55.9
331,55.8
332,56.0
333,56.1
334,55.7
335,55.0
336,54.0
337,53.0
338,52.1
339,51.1
340,50.4
341,49.7
342,49.5
343,49.3
344,49.1
345,48.8
346,48.3
347,47.8
348,46.8
349,46.2
350,45.1
351,44.4
352,43.6
353,42.9
354,42.3
355,41.7
356,41.0
357,40.3
358,39.7
359,39.0
360,38.2
361,37.6
362,36.9
363,36.2
364,35.6
365,35.0
366,34.6
367,34.1
368,33.8
369,33.3
370,32.5
371,31.4
372,30.4
373,29.8
374,29.3
375,29.0
376,28.5
377,27.7
378,26.6
379,25.6
380,25.0
381,24.5
382,24.2
383,23.3
384,22.4
385,21.9
386,21.1
387,20.1
388,19.6
389,19.3
390,19.0
391,18.5
392,17.5
393,16.6
394,15.9
395,15.2
396,14.9
397,14.3
398,13.7
399,12.7
400,11.7
401,10.9
402,10.6
403,10.2
404,9.5
405,8.9
406,8.4
407,7.6
408,6.7
409,5.8
410,5.0
411,4.2
412,3.6
413,3.3
414,2.7
415,2.0
416,1.3
417,0.9
418,0.2
419,-0.4
420,-1.1
421,-1.7
422,-2.5
423,-3.1
424,-3.7
425,-4.3
426,-4.9
427,-5.5
428,-6.0
429,-6.6
430,-7.0
431,-7.4
432,-7.9
433,-8.3
434,-8.7
435,-9.1
436,-9.6
437,-10.0
438,-10.4
439,-10.7
440,-10.9
441,-11.2
442,-11.6
443,-11.9
444,-12.2
445,-12.4
446,-12.6
447,-12.9
448,-13.1
449,-13.3
450,-13.3
451,-13.7
452,-13.7
453,-13.8
454,-14.2
455,-14.3
456,-14.5
457,-14.7
458,-14.7
459,-14.6
460,-14.2
461,-13.5
462,-12.5
463,-11.7
464,-11.0
465,-10.5
466,-10.3
467,-10.0
468,-9.5
469,-8.9
470,-8.3
471,-7.5
472,-6.8
473,-6.1
474,-5.2
475,-4.8
476,-4.4
477,-3.7
478,-3.1
479,-2.5
480,-1.8
481,-1.1
482,-0.5
483,0.2
484,0.9
485,1.6
486,2.2
487,2.6
488,3.3
489,4.0
490,4.4
491,5.4
492,6.5
493,7.4
494,8.0
495,8.6
496,9.1
497,9.5
498,9.9
499,10.1
500,10.5
501,11.6
502,13.1
503,14.2
504,15.0
505,15.5
506,15.6
507,16.1
508,16.3
509,16.5
510,17.7
511,19.5
512,20.8
513,21.5
514,21.6
515,21.7
516,21.8
517,22.2
518,23.8
519,24.5
520,24.8
521,25.1
522,25.7
523,27.5
524,28.5
525,28.9
526,29.2
527,29.3
528,29.7
529,30.6
530,31.8
531,32.7
532,32.8
533,33.0
534,33.3
535,34.4
536,36.0
537,37.5
538,38.3
539,38.6
540,38.3
541,38.3
542,38.6
543,39.3
