Date/Time,999 [°C],
9/6/2025 2:43:49 P.M.,65.7,
9/6/2025 2:43:50 P.M.,65.5,
9/6/2025 2:43:51 P.M.,65.2,
9/6/2025 2:43:52 P.M.,65.0,
9/6/2025 2:43:53 P.M.,64.7,
9/6/2025 2:43:54 P.M.,64.3,
9/6/2025 2:43:55 P.M.,64.0,
9/6/2025 2:43:56 P.M.,63.6,
9/6/2025 2:43:57 P.M.,63.3,
9/6/2025 2:43:58 P.M.,62.9,
9/6/2025 2:43:59 P.M.,62.7,
9/6/2025 2:44:00 P.M.,62.3,
9/6/2025 2:44:01 P.M.,61.7,
9/6/2025 2:44:02 P.M.,61.3,
9/6/2025 2:44:03 P.M.,60.9,
9/6/2025 2:44:04 P.M.,60.4,
9/6/2025 2:44:05 P.M.,60.0,
9/6/2025 2:44:06 P.M.,59.5,
9/6/2025 2:44:07 P.M.,59.0,
9/6/2025 2:44:08 P.M.,58.7,
9/6/2025 2:44:09 P.M.,58.3,
9/6/2025 2:44:10 P.M.,57.7,
9/6/2025 2:44:11 P.M.,57.3,
9/6/2025 2:44:12 P.M.,56.9,
9/6/2025 2:44:13 P.M.,56.7,
9/6/2025 2:44:14 P.M.,56.1,
9/6/2025 2:44:15 P.M.,55.8,
9/6/2025 2:44:16 P.M.,55.5,
9/6/2025 2:44:17 P.M.,55.1,
9/6/2025 2:44:18 P.M.,54.8,
9/6/2025 2:44:19 P.M.,54.5,
9/6/2025 2:44:20 P.M.,54.2,
9/6/2025 2:44:21 P.M.,53.9,
9/6/2025 2:44:22 P.M.,53.6,
9/6/2025 2:44:23 P.M.,53.3,
9/6/2025 2:44:24 P.M.,52.9,
9/6/2025 2:44:25 P.M.,52.7,
9/6/2025 2:44:26 P.M.,52.2,
9/6/2025 2:44:27 P.M.,51.8,
9/6/2025 2:44:28 P.M.,51.5,
9/6/2025 2:44:29 P.M.,51.2,
9/6/2025 2:44:30 P.M.,50.9,
9/6/2025 2:44:31 P.M.,50.6,
9/6/2025 2:44:32 P.M.,50.4,
9/6/2025 2:44:33 P.M.,49.9,
9/6/2025 2:44:34 P.M.,49.7,
9/6/2025 2:44:35 P.M.,49.2,
9/6/2025 2:44:36 P.M.,48.9,
9/6/2025 2:44:37 P.M.,48.5,
9/6/2025 2:44:38 P.M.,48.1,
9/6/2025 2:44:39 P.M.,47.9,
9/6/2025 2:44:40 P.M.,47.3,
9/6/2025 2:44:41 P.M.,46.9,
9/6/2025 2:44:42 P.M.,46.4,
9/6/2025 2:44:43 P.M.,46.0,
9/6/2025 2:44:44 P.M.,45.5,
9/6/2025 2:44:45 P.M.,45.1,
9/6/2025 2:44:46 P.M.,44.7,
9/6/2025 2:44:47 P.M.,44.3,
9/6/2025 2:44:48 P.M.,44.1,
9/6/2025 2:44:49 P.M.,43.5,
9/6/2025 2:44:50 P.M.,43.3,
9/6/2025 2:44:51 P.M.,42.7,
9/6/2025 2:44:52 P.M.,42.3,
9/6/2025 2:44:53 P.M.,41.9,
9/6/2025 2:44:54 P.M.,41.4,
9/6/2025 2:44:55 P.M.,40.9,
9/6/2025 2:44:56 P.M.,40.7,
9/6/2025 2:44:57 P.M.,40.2,
9/6/2025 2:44:58 P.M.,39.8,
9/6/2025 2:44:59 P.M.,39.7,
9/6/2025 2:45:00 P.M.,39.1,
9/6/2025 2:45:01 P.M.,38.7,
9/6/2025 2:45:02 P.M.,38.5,
9/6/2025 2:45:03 P.M.,38.1,
9/6/2025 2:45:04 P.M.,37.5,
9/6/2025 2:45:05 P.M.,37.3,
9/6/2025 2:45:06 P.M.,36.6,
9/6/2025 2:45:07 P.M.,36.2,
9/6/2025 2:45:08 P.M.,35.9,
9/6/2025 2:45:09 P.M.,35.7,
9/6/2025 2:45:10 P.M.,35.1,
9/6/2025 2:45:11 P.M.,34.8,
9/6/2025 2:45:12 P.M.,34.4,
9/6/2025 2:45:13 P.M.,34.1,
9/6/2025 2:45:14 P.M.,34.0,
9/6/2025 2:45:15 P.M.,33.5,
9/6/2025 2:45:16 P.M.,33.2,
9/6/2025 2:45:17 P.M.,33.0,
9/6/2025 2:45:18 P.M.,32.7,
9/6/2025 2:45:19 P.M.,32.5,
9/6/2025 2:45:20 P.M.,32.3,
9/6/2025 2:45:21 P.M.,32.0,
9/6/2025 2:45:22 P.M.,31.9,
9/6/2025 2:45:23 P.M.,31.6,
9/6/2025 2:45:24 P.M.,31.1,
9/6/2025 2:45:25 P.M.,30.9,
9/6/2025 2:45:26 P.M.,30.3,
9/6/2025 2:45:27 P.M.,29.8,
9/6/2025 2:45:28 P.M.,29.4,
9/6/2025 2:45:29 P.M.,29.0,
9/6/2025 2:45:30 P.M.,28.4,
9/6/2025 2:45:31 P.M.,27.9,
9/6/2025 2:45:32 P.M.,27.6,
9/6/2025 2:45:33 P.M.,27.1,
9/6/2025 2:45:34 P.M.,26.4,
9/6/2025 2:45:35 P.M.,26.2,
9/6/2025 2:45:36 P.M.,25.8,
9/6/2025 2:45:37 P.M.,25.4,
9/6/2025 2:45:38 P.M.,25.0,
9/6/2025 2:45:39 P.M.,24.7,
9/6/2025 2:45:40 P.M.,24.3,
9/6/2025 2:45:41 P.M.,24.1,
9/6/2025 2:45:42 P.M.,23.5,
9/6/2025 2:45:43 P.M.,23.3,
9/6/2025 2:45:44 P.M.,22.7,
9/6/2025 2:45:45 P.M.,22.3,
9/6/2025 2:45:46 P.M.,22.1,
9/6/2025 2:45:47 P.M.,21.5,
9/6/2025 2:45:48 P.M.,21.1,
9/6/2025 2:45:49 P.M.,20.7,
9/6/2025 2:45:50 P.M.,20.3,
9/6/2025 2:45:51 P.M.,19.9,
9/6/2025 2:45:52 P.M.,19.7,
9/6/2025 2:45:53 P.M.,19.3,
9/6/2025 2:45:54 P.M.,18.8,
9/6/2025 2:45:55 P.M.,18.7,
9/6/2025 2:45:56 P.M.,18.1,
9/6/2025 2:45:57 P.M.,17.8,
9/6/2025 2:45:58 P.M.,17.3,
9/6/2025 2:45:59 P.M.,17.1,
9/6/2025 2:46:00 P.M.,16.7,
9/6/2025 2:46:01 P.M.,16.2,
9/6/2025 2:46:02 P.M.,15.4,
9/6/2025 2:46:03 P.M.,14.9,
9/6/2025 2:46:04 P.M.,14.5,
9/6/2025 2:46:05 P.M.,14.0,
9/6/2025 2:46:06 P.M.,13.6,
9/6/2025 2:46:07 P.M.,13.4,
9/6/2025 2:46:08 P.M.,12.8,
9/6/2025 2:46:09 P.M.,12.5,
9/6/2025 2:46:10 P.M.,11.9,
9/6/2025 2:46:11 P.M.,11.6,
9/6/2025 2:46:12 P.M.,11.2,
9/6/2025 2:46:13 P.M.,11.0,
9/6/2025 2:46:14 P.M.,10.5,
9/6/2025 2:46:15 P.M.,10.1,
9/6/2025 2:46:16 P.M.,9.9,
9/6/2025 2:46:17 P.M.,9.5,
9/6/2025 2:46:18 P.M.,9.1,
9/6/2025 2:46:19 P.M.,8.5,
9/6/2025 2:46:20 P.M.,8.1,
9/6/2025 2:46:21 P.M.,7.8,
9/6/2025 2:46:22 P.M.,7.4,
9/6/2025 2:46:23 P.M.,7.2,
9/6/2025 2:46:24 P.M.,6.7,
9/6/2025 2:46:25 P.M.,6.5,
9/6/2025 2:46:26 P.M.,6.1,
9/6/2025 2:46:27 P.M.,5.7,
9/6/2025 2:46:28 P.M.,5.1,
9/6/2025 2:46:29 P.M.,4.6,
9/6/2025 2:46:30 P.M.,4.1,
9/6/2025 2:46:31 P.M.,3.7,
9/6/2025 2:46:32 P.M.,3.2,
9/6/2025 2:46:33 P.M.,2.5,
9/6/2025 2:46:34 P.M.,2.3,
9/6/2025 2:46:35 P.M.,1.8,
9/6/2025 2:46:36 P.M.,1.1,
9/6/2025 2:46:37 P.M.,0.5,
9/6/2025 2:46:38 P.M.,0.0,
9/6/2025 2:46:39 P.M.,-0.5,
9/6/2025 2:46:40 P.M.,-0.9,
9/6/2025 2:46:41 P.M.,-1.4,
9/6/2025 2:46:42 P.M.,-1.6,
9/6/2025 2:46:43 P.M.,-2.1,
9/6/2025 2:46:44 P.M.,-2.7,
9/6/2025 2:46:45 P.M.,-2.9,
9/6/2025 2:46:46 P.M.,-3.3,
9/6/2025 2:46:47 P.M.,-3.9,
9/6/2025 2:46:48 P.M.,-4.2,
9/6/2025 2:46:49 P.M.,-4.6,
9/6/2025 2:46:50 P.M.,-4.9,
9/6/2025 2:46:51 P.M.,-5.1,
9/6/2025 2:46:52 P.M.,-5.5,
9/6/2025 2:46:53 P.M.,-6.0,
9/6/2025 2:46:54 P.M.,-6.5,
9/6/2025 2:46:55 P.M.,-6.9,
9/6/2025 2:46:56 P.M.,-7.3,
9/6/2025 2:46:57 P.M.,-7.5,
9/6/2025 2:46:58 P.M.,-8.1,
9/6/2025 2:46:59 P.M.,-8.5,
9/6/2025 2:47:00 P.M.,-8.7,
9/6/2025 2:47:01 P.M.,-9.0,
9/6/2025 2:47:02 P.M.,-9.6,
9/6/2025 2:47:03 P.M.,-9.8,
9/6/2025 2:47:04 P.M.,-10.3,
9/6/2025 2:47:05 P.M.,-10.6,
9/6/2025 2:47:06 P.M.,-10.8,
9/6/2025 2:47:07 P.M.,-11.1,
