Date/Time,999 [°C]
19/06/2025 12:27:18,16.4
19/06/2025 12:27:19,16.4
19/06/2025 12:27:20,16.2
19/06/2025 12:27:21,16.1
19/06/2025 12:27:22,16.2
19/06/2025 12:27:23,16.1
19/06/2025 12:27:24,16.1
19/06/2025 12:27:25,16.1
19/06/2025 12:27:26,16.1
19/06/2025 12:27:27,19.4
19/06/2025 12:27:28,19.0
19/06/2025 12:27:29,21.9
19/06/2025 12:27:30,21.5
19/06/2025 12:27:31,24.1
19/06/2025 12:27:32,26.4
19/06/2025 12:27:33,26.0
19/06/2025 12:27:34,25.2
19/06/2025 12:27:35,24.6
19/06/2025 12:27:36,26.5
19/06/2025 12:27:37,32.0
19/06/2025 12:27:38,31.2
19/06/2025 12:27:39,33.0
19/06/2025 12:27:40,32.0
19/06/2025 12:27:41,30.9
19/06/2025 12:27:42,29.9
19/06/2025 12:27:43,31.3
19/06/2025 12:27:44,36.2
19/06/2025 12:27:45,38.1
19/06/2025 12:27:46,36.5
19/06/2025 12:27:47,35.4
19/06/2025 12:27:48,34.2
19/06/2025 12:27:49,35.0
19/06/2025 12:27:50,39.6
19/06/2025 12:27:51,40.9
19/06/2025 12:27:52,42.5
19/06/2025 12:27:53,40.6
19/06/2025 12:27:54,39.4
19/06/2025 12:27:55,39.5
19/06/2025 12:27:56,43.7
19/06/2025 12:27:57,45.5
19/06/2025 12:27:58,46.1
19/06/2025 12:27:59,44.1
19/06/2025 12:28:00,44.6
19/06/2025 12:28:01,47.6
19/06/2025 12:28:02,46.9
19/06/2025 12:28:03,46.4
19/06/2025 12:28:04,47.3
19/06/2025 12:28:05,48.9
19/06/2025 12:28:06,49.4
19/06/2025 12:28:07,51.8
19/06/2025 12:28:08,50.5
19/06/2025 12:28:09,49.6
19/06/2025 12:28:10,52.7
19/06/2025 12:28:11,55.3
19/06/2025 12:28:12,53.8
19/06/2025 12:28:13,53.2
19/06/2025 12:28:14,55.9
19/06/2025 12:28:15,57.0
19/06/2025 12:28:16,55.4
19/06/2025 12:28:17,54.4
19/06/2025 12:28:18,55.9
