Date/Time,999 [°C]
18/6/2025 3:40:39 P.M.,18.1
18/6/2025 3:40:40 P.M.,18.1
18/6/2025 3:40:41 P.M.,18.1
18/6/2025 3:40:42 P.M.,18.1
18/6/2025 3:40:43 P.M.,18.1
18/6/2025 3:40:44 P.M.,18.1
18/6/2025 3:40:45 P.M.,18.1
18/6/2025 3:40:46 P.M.,18.1
18/6/2025 3:40:47 P.M.,18.1
18/6/2025 3:40:48 P.M.,18.1
18/6/2025 3:40:49 P.M.,18.1
18/6/2025 3:40:50 P.M.,18.1
18/6/2025 3:40:51 P.M.,18.1
18/6/2025 3:40:52 P.M.,18.1
18/6/2025 3:40:53 P.M.,18.1
18/6/2025 3:40:54 P.M.,18.1
18/6/2025 3:40:55 P.M.,18.5
18/6/2025 3:40:56 P.M.,19.7
18/6/2025 3:40:57 P.M.,21.5
18/6/2025 3:40:58 P.M.,22.4
18/6/2025 3:40:59 P.M.,22.2
18/6/2025 3:41:00 P.M.,21.8
18/6/2025 3:41:01 P.M.,21.7
18/6/2025 3:41:02 P.M.,21.5
18/6/2025 3:41:03 P.M.,22.1
18/6/2025 3:41:04 P.M.,23.4
18/6/2025 3:41:05 P.M.,24.0
18/6/2025 3:41:06 P.M.,24.5
18/6/2025 3:41:07 P.M.,24.5
18/6/2025 3:41:08 P.M.,24.3
18/6/2025 3:41:09 P.M.,25.3
18/6/2025 3:41:10 P.M.,26.2
18/6/2025 3:41:11 P.M.,27.4
18/6/2025 3:41:12 P.M.,27.0
18/6/2025 3:41:13 P.M.,26.7
18/6/2025 3:41:14 P.M.,26.2
18/6/2025 3:41:15 P.M.,26.5
18/6/2025 3:41:16 P.M.,27.2
18/6/2025 3:41:17 P.M.,27.1
18/6/2025 3:41:18 P.M.,28.0
18/6/2025 3:41:19 P.M.,28.8
18/6/2025 3:41:20 P.M.,31.1
18/6/2025 3:41:21 P.M.,32.2
18/6/2025 3:41:22 P.M.,31.6
18/6/2025 3:41:23 P.M.,30.7
18/6/2025 3:41:24 P.M.,29.9
18/6/2025 3:41:25 P.M.,29.2
18/6/2025 3:41:26 P.M.,28.6
18/6/2025 3:41:27 P.M.,28.2
18/6/2025 3:41:28 P.M.,28.4
18/6/2025 3:41:29 P.M.,29.7
18/6/2025 3:41:30 P.M.,31.0
18/6/2025 3:41:31 P.M.,31.8
18/6/2025 3:41:32 P.M.,32.5
