Date/Time,999 [°C]
19/06/2025 12:41:50,17.8
19/06/2025 12:41:51,17.8
19/06/2025 12:41:52,17.3
19/06/2025 12:41:53,17.3
19/06/2025 12:41:54,17.3
19/06/2025 12:41:55,17.3
19/06/2025 12:41:56,17.3
19/06/2025 12:41:57,17.4
19/06/2025 12:41:58,17.3
19/06/2025 12:41:59,17.3
19/06/2025 12:42:00,17.3
19/06/2025 12:42:01,17.3
19/06/2025 12:42:02,17.7
19/06/2025 12:42:03,21.0
19/06/2025 12:42:04,23.2
19/06/2025 12:42:05,22.7
19/06/2025 12:42:06,22.3
19/06/2025 12:42:07,22.0
19/06/2025 12:42:08,21.8
19/06/2025 12:42:09,24.5
19/06/2025 12:42:10,24.3
19/06/2025 12:42:11,26.6
19/06/2025 12:42:12,26.2
19/06/2025 12:42:13,28.3
19/06/2025 12:42:14,27.5
19/06/2025 12:42:15,27.3
19/06/2025 12:42:16,26.3
19/06/2025 12:42:17,26.0
19/06/2025 12:42:18,29.4
19/06/2025 12:42:19,33.1
19/06/2025 12:42:20,29.9
19/06/2025 12:42:21,29.7
19/06/2025 12:42:22,28.8
19/06/2025 12:42:23,28.4
19/06/2025 12:42:24,31.3
19/06/2025 12:42:25,32.6
19/06/2025 12:42:26,34.2
19/06/2025 12:42:27,33.7
19/06/2025 12:42:28,31.9
19/06/2025 12:42:29,31.8
19/06/2025 12:42:30,33.9
19/06/2025 12:42:31,35.0
19/06/2025 12:42:32,36.5
19/06/2025 12:42:33,36.0
19/06/2025 12:42:34,37.4
19/06/2025 12:42:35,41.3
19/06/2025 12:42:36,40.6
19/06/2025 12:42:37,39.0
19/06/2025 12:42:38,37.1
19/06/2025 12:42:39,36.3
19/06/2025 12:42:40,40.5
19/06/2025 12:42:41,41.7
19/06/2025 12:42:42,40.9
19/06/2025 12:42:43,38.9
19/06/2025 12:42:44,39.9
19/06/2025 12:42:45,42.5
19/06/2025 12:42:46,47.7
19/06/2025 12:42:47,47.2
19/06/2025 12:42:48,45.1
19/06/2025 12:42:49,42.4
19/06/2025 12:42:50,41.2
19/06/2025 12:42:51,40.4
19/06/2025 12:42:52,43.8
19/06/2025 12:42:53,42.1
19/06/2025 12:42:54,43.4
19/06/2025 12:42:55,49.4
19/06/2025 12:42:56,52.4
19/06/2025 12:42:57,51.5
19/06/2025 12:42:58,48.4
19/06/2025 12:42:59,46.5
19/06/2025 12:43:00,45.4
19/06/2025 12:43:01,48.3
19/06/2025 12:43:02,51.5
19/06/2025 12:43:03,50.9
19/06/2025 12:43:04,47.9
19/06/2025 12:43:05,50.6
19/06/2025 12:43:06,52.5
19/06/2025 12:43:07,53.9
19/06/2025 12:43:08,54.3
19/06/2025 12:43:09,53.8
19/06/2025 12:43:10,52.8
19/06/2025 12:43:11,52.5
19/06/2025 12:43:12,52.4
19/06/2025 12:43:13,53.6
19/06/2025 12:43:14,56.4
19/06/2025 12:43:15,57.4
19/06/2025 12:43:16,54.5
19/06/2025 12:43:17,54.5
19/06/2025 12:43:18,55.7
19/06/2025 12:43:19,59.3
19/06/2025 12:43:20,57.6
19/06/2025 12:43:21,56.1
19/06/2025 12:43:22,55.5
19/06/2025 12:43:23,59.8
19/06/2025 12:43:24,60.7
19/06/2025 12:43:25,62.8
19/06/2025 12:43:26,59.6
19/06/2025 12:43:27,58.0
19/06/2025 12:43:28,55.7
19/06/2025 12:43:29,59.3
19/06/2025 12:43:30,60.2
19/06/2025 12:43:31,62.5
19/06/2025 12:43:32,65.2
19/06/2025 12:43:33,66.2
19/06/2025 12:43:34,63.8
19/06/2025 12:43:35,61.0
19/06/2025 12:43:36,62.5
19/06/2025 12:43:37,64.7
19/06/2025 12:43:38,67.5
19/06/2025 12:43:39,68.1
19/06/2025 12:43:40,69.6
19/06/2025 12:43:41,69.3
19/06/2025 12:43:42,64.2
19/06/2025 12:43:43,61.8
19/06/2025 12:43:44,58.0
19/06/2025 12:43:45,58.4
19/06/2025 12:43:46,57.4
19/06/2025 12:43:47,57.7
19/06/2025 12:43:48,59.4
19/06/2025 12:43:49,59.4
19/06/2025 12:43:50,56.7
19/06/2025 12:43:51,55.7
19/06/2025 12:43:52,53.6
19/06/2025 12:43:53,55.8
19/06/2025 12:43:54,54.4
19/06/2025 12:43:55,52.2
19/06/2025 12:43:56,50.7
19/06/2025 12:43:57,51.4
19/06/2025 12:43:58,53.0
19/06/2025 12:43:59,53.6
19/06/2025 12:44:00,52.7
19/06/2025 12:44:01,50.6
19/06/2025 12:44:02,47.9
19/06/2025 12:44:03,48.5
19/06/2025 12:44:04,50.9
19/06/2025 12:44:05,47.7
19/06/2025 12:44:06,46.9
19/06/2025 12:44:07,45.3
19/06/2025 12:44:08,45.0
19/06/2025 12:44:09,49.0
19/06/2025 12:44:10,50.9
19/06/2025 12:44:11,46.1
19/06/2025 12:44:12,45.5
19/06/2025 12:44:13,43.9
19/06/2025 12:44:14,42.4
19/06/2025 12:44:15,43.9
19/06/2025 12:44:16,45.1
19/06/2025 12:44:17,42.8
19/06/2025 12:44:18,42.1
19/06/2025 12:44:19,40.7
19/06/2025 12:44:20,40.1
19/06/2025 12:44:21,41.1
19/06/2025 12:44:22,39.6
19/06/2025 12:44:23,40.6
19/06/2025 12:44:24,39.7
19/06/2025 12:44:25,38.7
19/06/2025 12:44:26,36.8
19/06/2025 12:44:27,36.3
19/06/2025 12:44:28,36.1
19/06/2025 12:44:29,39.3
19/06/2025 12:44:30,38.5
19/06/2025 12:44:31,37.2
19/06/2025 12:44:32,36.3
19/06/2025 12:44:33,35.2
19/06/2025 12:44:34,34.2
19/06/2025 12:44:35,33.3
19/06/2025 12:44:36,33.3
19/06/2025 12:44:37,34.4
19/06/2025 12:44:38,33.4
19/06/2025 12:44:39,32.6
19/06/2025 12:44:40,31.8
19/06/2025 12:44:41,31.0
19/06/2025 12:44:42,30.2
19/06/2025 12:44:43,29.5
19/06/2025 12:44:44,28.8
19/06/2025 12:44:45,28.2
19/06/2025 12:44:46,27.9
19/06/2025 12:44:47,30.2
19/06/2025 12:44:48,29.4
19/06/2025 12:44:49,28.7
19/06/2025 12:44:50,28.0
19/06/2025 12:44:51,27.4
19/06/2025 12:44:52,26.8
19/06/2025 12:44:53,26.5
19/06/2025 12:44:54,25.9
19/06/2025 12:44:55,25.5
19/06/2025 12:44:56,23.1
19/06/2025 12:44:57,23.1
19/06/2025 12:44:58,22.9
19/06/2025 12:44:59,22.6
19/06/2025 12:45:00,22.5
19/06/2025 12:45:01,22.2
19/06/2025 12:45:02,22.0
19/06/2025 12:45:03,21.7
19/06/2025 12:45:04,21.5
19/06/2025 12:45:05,21.3
19/06/2025 12:45:06,21.1
19/06/2025 12:45:07,19.2
19/06/2025 12:45:08,19.3
19/06/2025 12:45:09,19.3
19/06/2025 12:45:10,19.2
19/06/2025 12:45:11,19.2
19/06/2025 12:45:12,16.9
19/06/2025 12:45:13,16.0
19/06/2025 12:45:14,16.3
19/06/2025 12:45:15,16.5
19/06/2025 12:45:16,16.6
19/06/2025 12:45:17,16.8
19/06/2025 12:45:18,16.8
19/06/2025 12:45:19,15.1
19/06/2025 12:45:20,15.1
19/06/2025 12:45:21,14.0
19/06/2025 12:45:22,12.8
19/06/2025 12:45:23,13.2
19/06/2025 12:45:24,11.9
19/06/2025 12:45:25,12.5
19/06/2025 12:45:26,13.0
19/06/2025 12:45:27,11.2
19/06/2025 12:45:28,10.4
19/06/2025 12:45:29,9.5
19/06/2025 12:45:30,8.7
19/06/2025 12:45:31,9.4
19/06/2025 12:45:32,8.2
19/06/2025 12:45:33,7.6
19/06/2025 12:45:34,8.5
19/06/2025 12:45:35,9.1
19/06/2025 12:45:36,8.2
19/06/2025 12:45:37,8.8
19/06/2025 12:45:38,7.8
19/06/2025 12:45:39,5.3
19/06/2025 12:45:40,4.7
19/06/2025 12:45:41,4.2
19/06/2025 12:45:42,5.2
19/06/2025 12:45:43,4.5
19/06/2025 12:45:44,5.7
19/06/2025 12:45:45,3.3
19/06/2025 12:45:46,1.3
19/06/2025 12:45:47,2.8
19/06/2025 12:45:48,2.2
19/06/2025 12:45:49,3.3
19/06/2025 12:45:50,1.5
19/06/2025 12:45:51,-0.4
19/06/2025 12:45:52,-0.5
19/06/2025 12:45:53,0.9
19/06/2025 12:45:54,2.1
19/06/2025 12:45:55,0.0
19/06/2025 12:45:56,0.1
19/06/2025 12:45:57,-1.8
19/06/2025 12:45:58,-3.2
19/06/2025 12:45:59,-3.1
19/06/2025 12:46:00,-3.2
19/06/2025 12:46:01,-3.0
19/06/2025 12:46:02,-3.1
19/06/2025 12:46:03,-4.3
19/06/2025 12:46:04,-5.6
19/06/2025 12:46:05,-5.6
19/06/2025 12:46:06,-3.7
19/06/2025 12:46:07,-5.1
19/06/2025 12:46:08,-6.3
19/06/2025 12:46:09,-7.4
19/06/2025 12:46:10,-7.3
19/06/2025 12:46:11,-7.8
19/06/2025 12:46:12,-8.7
19/06/2025 12:46:13,-8.4
19/06/2025 12:46:14,-6.4
19/06/2025 12:46:15,-7.6
19/06/2025 12:46:16,-8.7
19/06/2025 12:46:17,-9.3
19/06/2025 12:46:18,-10.2
19/06/2025 12:46:19,-10.9
19/06/2025 12:46:20,-11.5
19/06/2025 12:46:21,-12.2
19/06/2025 12:46:22,-12.7
19/06/2025 12:46:23,-13.1
19/06/2025 12:46:24,-13.5
19/06/2025 12:46:25,-14.0
19/06/2025 12:46:26,-14.3
19/06/2025 12:46:27,-14.6
19/06/2025 12:46:28,-15.0
19/06/2025 12:46:29,-15.3
19/06/2025 12:46:30,-15.6
19/06/2025 12:46:31,-15.8
19/06/2025 12:46:32,-16.0
19/06/2025 12:46:33,-16.2
19/06/2025 12:46:34,-16.5
19/06/2025 12:46:35,-16.6
19/06/2025 12:46:36,-16.8
19/06/2025 12:46:37,-17.0
19/06/2025 12:46:38,-17.1
19/06/2025 12:46:39,-17.2
19/06/2025 12:46:40,-17.3
19/06/2025 12:46:41,-17.5
19/06/2025 12:46:42,-17.5
19/06/2025 12:46:43,-17.7
19/06/2025 12:46:44,-17.8
19/06/2025 12:46:45,-17.8
19/06/2025 12:46:46,-17.9
19/06/2025 12:46:47,-18.0
19/06/2025 12:46:48,-18.1
19/06/2025 12:46:49,-18.2
19/06/2025 12:46:50,-18.2
19/06/2025 12:46:51,-18.3
19/06/2025 12:46:52,-18.3
19/06/2025 12:46:53,-18.4
19/06/2025 12:46:54,-18.5
19/06/2025 12:46:55,-18.5
19/06/2025 12:46:56,-18.4
19/06/2025 12:46:57,-18.5
19/06/2025 12:46:58,-18.5
19/06/2025 12:46:59,-18.6
19/06/2025 12:47:00,-16.7
19/06/2025 12:47:01,-16.3
19/06/2025 12:47:02,-15.2
19/06/2025 12:47:03,-13.6
19/06/2025 12:47:04,-13.8
19/06/2025 12:47:05,-14.4
19/06/2025 12:47:06,-13.1
