Fecha/Hora,999 [°C]
19/6/2025 11:15:09 A.M.,-8.1
19/6/2025 11:15:10 A.M.,-8.9
19/6/2025 11:15:11 A.M.,-9.8
19/6/2025 11:15:12 A.M.,-10.7
19/6/2025 11:15:13 A.M.,-11.5
19/6/2025 11:15:14 A.M.,-12.2
19/6/2025 11:15:15 A.M.,-12.9
19/6/2025 11:15:16 A.M.,-13.5
19/6/2025 11:15:17 A.M.,-13.9
19/6/2025 11:15:18 A.M.,-14.5
19/6/2025 11:15:19 A.M.,-15.0
19/6/2025 11:15:20 A.M.,-15.6
19/6/2025 11:15:21 A.M.,-15.9
19/6/2025 11:15:22 A.M.,-16.3
19/6/2025 11:15:23 A.M.,-14.6
19/6/2025 11:15:24 A.M.,-7.0
19/6/2025 11:15:25 A.M.,-3.3
19/6/2025 11:15:26 A.M.,5.2
19/6/2025 11:15:27 A.M.,8.7
19/6/2025 11:15:28 A.M.,8.8
19/6/2025 11:15:29 A.M.,9.7
19/6/2025 11:15:30 A.M.,16.7
19/6/2025 11:15:31 A.M.,21.7
19/6/2025 11:15:32 A.M.,20.8
19/6/2025 11:15:33 A.M.,20.5
19/6/2025 11:15:34 A.M.,23.5
19/6/2025 11:15:35 A.M.,29.2
19/6/2025 11:15:36 A.M.,34.0
19/6/2025 11:15:37 A.M.,34.7
19/6/2025 11:15:38 A.M.,36.0
19/6/2025 11:15:39 A.M.,40.3
19/6/2025 11:15:40 A.M.,44.0
19/6/2025 11:15:41 A.M.,44.6
19/6/2025 11:15:42 A.M.,45.4
19/6/2025 11:15:43 A.M.,48.8
19/6/2025 11:15:44 A.M.,51.7
19/6/2025 11:15:45 A.M.,53.8
19/6/2025 11:15:46 A.M.,56.2
19/6/2025 11:15:47 A.M.,58.4
19/6/2025 11:15:48 A.M.,60.4
19/6/2025 11:15:49 A.M.,62.3
19/6/2025 11:15:50 A.M.,64.1
19/6/2025 11:15:51 A.M.,65.6
19/6/2025 11:15:52 A.M.,66.8
19/6/2025 11:15:53 A.M.,68.1
19/6/2025 11:15:54 A.M.,69.4
19/6/2025 11:15:55 A.M.,70.9
19/6/2025 11:15:56 A.M.,71.6
19/6/2025 11:15:57 A.M.,72.6
19/6/2025 11:15:58 A.M.,73.4
19/6/2025 11:15:59 A.M.,74.6
19/6/2025 11:16:00 A.M.,74.9
19/6/2025 11:16:01 A.M.,71.6
19/6/2025 11:16:02 A.M.,66.0
19/6/2025 11:16:03 A.M.,58.9
19/6/2025 11:16:04 A.M.,52.8
19/6/2025 11:16:05 A.M.,47.4
19/6/2025 11:16:06 A.M.,43.3
19/6/2025 11:16:07 A.M.,38.5
19/6/2025 11:16:08 A.M.,34.1
19/6/2025 11:16:09 A.M.,33.7
19/6/2025 11:16:10 A.M.,33.1
19/6/2025 11:16:11 A.M.,32.1
19/6/2025 11:16:12 A.M.,27.5
19/6/2025 11:16:13 A.M.,24.3
19/6/2025 11:16:14 A.M.,20.7
19/6/2025 11:16:15 A.M.,17.4
19/6/2025 11:16:16 A.M.,16.1
19/6/2025 11:16:17 A.M.,14.8
19/6/2025 11:16:18 A.M.,11.8
19/6/2025 11:16:19 A.M.,9.2
19/6/2025 11:16:20 A.M.,7.2
19/6/2025 11:16:21 A.M.,5.0
19/6/2025 11:16:22 A.M.,3.0
19/6/2025 11:16:23 A.M.,1.1
19/6/2025 11:16:24 A.M.,-0.7
19/6/2025 11:16:25 A.M.,-2.2
19/6/2025 11:16:26 A.M.,-4.2
19/6/2025 11:16:27 A.M.,-4.7
19/6/2025 11:16:28 A.M.,-6.0
19/6/2025 11:16:29 A.M.,-7.1
19/6/2025 11:16:30 A.M.,-8.1
19/6/2025 11:16:31 A.M.,-8.5
