Date/Time,999 [°C]
25/06/2025 15:50:07,18.7
25/06/2025 15:50:08,18.8
25/06/2025 15:50:09,18.6
25/06/2025 15:50:10,18.6
25/06/2025 15:50:11,18.6
25/06/2025 15:50:12,18.5
25/06/2025 15:50:13,18.5
25/06/2025 15:50:14,18.5
25/06/2025 15:50:15,18.5
25/06/2025 15:50:16,18.5
25/06/2025 15:50:17,18.5
25/06/2025 15:50:18,18.4
25/06/2025 15:50:19,18.7
25/06/2025 15:50:20,19.8
25/06/2025 15:50:21,21.7
25/06/2025 15:50:22,24.1
25/06/2025 15:50:23,26.5
25/06/2025 15:50:24,28.2
25/06/2025 15:50:25,29.3
25/06/2025 15:50:26,29.5
25/06/2025 15:50:27,29.4
25/06/2025 15:50:28,29.3
25/06/2025 15:50:29,29.8
25/06/2025 15:50:30,31.1
25/06/2025 15:50:31,32.3
25/06/2025 15:50:32,33.6
25/06/2025 15:50:33,34.3
25/06/2025 15:50:34,34.9
25/06/2025 15:50:35,35.7
25/06/2025 15:50:36,36.3
25/06/2025 15:50:37,37.0
25/06/2025 15:50:38,37.8
25/06/2025 15:50:39,39.3
25/06/2025 15:50:40,40.9
25/06/2025 15:50:41,42.1
25/06/2025 15:50:42,42.8
25/06/2025 15:50:43,43.0
25/06/2025 15:50:44,43.2
25/06/2025 15:50:45,43.8
25/06/2025 15:50:46,45.0
25/06/2025 15:50:47,46.5
25/06/2025 15:50:48,48.0
25/06/2025 15:50:49,49.1
25/06/2025 15:50:50,49.6
25/06/2025 15:50:51,49.7
25/06/2025 15:50:52,50.0
25/06/2025 15:50:53,50.9
25/06/2025 15:50:54,52.1
25/06/2025 15:50:55,53.3
25/06/2025 15:50:56,54.7
25/06/2025 15:50:57,55.6
25/06/2025 15:50:58,56.1
25/06/2025 15:50:59,56.5
25/06/2025 15:51:00,57.4
25/06/2025 15:51:01,58.5
25/06/2025 15:51:02,59.8
25/06/2025 15:51:03,60.7
25/06/2025 15:51:04,61.0
25/06/2025 15:51:05,60.3
25/06/2025 15:51:06,59.7
25/06/2025 15:51:07,58.5
25/06/2025 15:51:08,57.1
25/06/2025 15:51:09,56.0
25/06/2025 15:51:10,55.2
25/06/2025 15:51:11,54.4
25/06/2025 15:51:12,54.0
25/06/2025 15:51:13,53.6
25/06/2025 15:51:14,53.0
25/06/2025 15:51:15,52.5
25/06/2025 15:51:16,52.0
25/06/2025 15:51:17,51.6
25/06/2025 15:51:18,50.9
25/06/2025 15:51:19,49.7
25/06/2025 15:51:20,48.6
25/06/2025 15:51:21,47.4
25/06/2025 15:51:22,46.3
25/06/2025 15:51:23,45.6
25/06/2025 15:51:24,45.2
25/06/2025 15:51:25,45.1
25/06/2025 15:51:26,44.5
25/06/2025 15:51:27,43.7
25/06/2025 15:51:28,42.5
25/06/2025 15:51:29,41.5
25/06/2025 15:51:30,40.6
25/06/2025 15:51:31,39.8
25/06/2025 15:51:32,39.0
25/06/2025 15:51:33,38.4
25/06/2025 15:51:34,37.8
25/06/2025 15:51:35,36.8
25/06/2025 15:51:36,35.5
25/06/2025 15:51:37,34.3
25/06/2025 15:51:38,33.3
25/06/2025 15:51:39,32.6
25/06/2025 15:51:40,31.9
25/06/2025 15:51:41,31.3
25/06/2025 15:51:42,30.3
25/06/2025 15:51:43,29.1
25/06/2025 15:51:44,27.9
25/06/2025 15:51:45,27.0
25/06/2025 15:51:46,26.2
25/06/2025 15:51:47,25.4
25/06/2025 15:51:48,25.0
25/06/2025 15:51:49,24.2
25/06/2025 15:51:50,23.1
25/06/2025 15:51:51,22.1
25/06/2025 15:51:52,21.0
25/06/2025 15:51:53,20.1
25/06/2025 15:51:54,19.4
25/06/2025 15:51:55,18.7
25/06/2025 15:51:56,17.7
25/06/2025 15:51:57,16.7
25/06/2025 15:51:58,15.8
25/06/2025 15:51:59,14.9
25/06/2025 15:52:00,14.2
25/06/2025 15:52:01,13.3
25/06/2025 15:52:02,12.6
25/06/2025 15:52:03,11.7
25/06/2025 15:52:04,11.0
25/06/2025 15:52:05,10.1
25/06/2025 15:52:06,9.2
25/06/2025 15:52:07,8.3
25/06/2025 15:52:08,7.3
25/06/2025 15:52:09,6.6
25/06/2025 15:52:10,5.8
25/06/2025 15:52:11,4.9
25/06/2025 15:52:12,4.1
25/06/2025 15:52:13,3.2
25/06/2025 15:52:14,2.4
25/06/2025 15:52:15,1.7
25/06/2025 15:52:16,1.0
25/06/2025 15:52:17,0.2
25/06/2025 15:52:18,-0.6
