t,temp
0,12.4
1,12.4
2,12.5
3,12.3
4,12.3
5,12.3
6,12.4
7,12.5
8,12.3
9,12.3
10,12.2
11,12.3
12,12.3
13,12.3
14,12.3
15,12.3
16,12.3
17,12.8
18,14.5
19,15.9
20,16.5
21,16.9
22,17.1
23,17.2
24,17.2
25,17.2
26,17.1
27,17.4
28,19.0
29,20.3
30,21.0
31,21.2
32,21.3
33,21.4
34,21.3
35,22.1
36,24.0
37,25.5
38,26.2
39,26.2
40,26.0
41,25.7
42,25.5
43,25.3
44,25.9
45,27.7
46,29.7
47,30.7
48,31.0
49,31.0
50,30.9
51,30.7
52,31.3
53,32.3
54,33.4
55,34.1
56,34.4
57,34.3
58,34.1
59,34.7
60,36.2
61,37.9
62,38.6
63,38.8
64,38.7
65,38.4
66,38.2
67,39.2
68,40.9
69,41.9
70,42.2
71,42.1
72,41.8
73,42.1
74,43.3
75,44.6
76,45.1
77,45.3
78,45.1
79,45.3
80,46.0
81,47.3
82,48.3
83,49.0
84,49.1
85,48.7
86,48.4
87,49.0
88,50.3
89,51.7
90,52.6
91,52.9
92,52.8
93,52.2
94,51.8
95,52.2
96,53.4
97,54.6
98,56.1
99,56.9
100,57.3
101,57.1
102,56.6
103,56.5
104,57.1
105,58.3
106,59.7
107,61.2
108,62.3
109,62.2
110,61.8
111,61.2
112,60.8
113,61.3
114,62.3
115,63.5
116,64.7
117,65.1
118,64.8
119,64.2
120,64.3
121,65.1
122,66.1
123,67.2
124,67.6
125,68.0
126,69.0
127,69.7
128,69.6
129,68.9
130,68.6
131,68.8
132,69.4
133,70.4
134,71.4
135,72.5
136,73.1
137,73.4
138,73.4
139,73.2
140,73.2
141,73.9
142,74.8
143,75.6
144,75.8
145,75.3
146,75.2
147,75.7
148,76.4
149,77.3
150,78.2
151,79.0
152,79.6
153,79.3
154,78.2
155,76.8
156,75.4
157,74.5
158,74.3
159,74.3
160,73.8
161,73.1
162,72.7
163,72.4
164,71.9
165,71.1
166,70.8
167,71.0
168,70.9
169,70.3
170,69.3
171,68.2
172,67.8
173,67.9
174,67.5
175,66.6
176,65.8
177,65.7
178,65.6
179,65.1
180,64.2
181,63.3
182,62.3
183,62.4
184,62.9
185,62.7
186,62.0
187,61.0
188,60.2
189,59.2
190,58.5
191,58.1
192,57.9
193,57.7
194,57.6
195,57.3
196,56.6
197,55.7
198,54.8
199,54.5
200,55.0
201,54.9
202,54.5
203,53.7
204,52.8
205,51.9
206,51.5
207,50.9
208,50.4
209,50.2
210,49.6
211,48.8
212,48.0
213,47.4
214,47.9
215,48.3
216,48.2
217,47.8
218,46.8
219,45.8
220,44.9
221,44.0
222,43.8
223,43.9
224,44.0
225,43.2
226,42.3
227,41.6
228,40.8
229,40.3
230,40.2
231,39.8
232,39.3
233,38.7
234,38.1
235,37.4
236,36.8
237,36.7
238,36.6
239,36.2
240,35.7
241,35.2
242,34.7
243,34.0
244,33.5
245,33.4
246,33.4
247,33.1
248,32.7
249,31.9
250,31.3
251,30.8
252,30.3
253,29.7
254,29.2
255,28.7
256,28.3
257,27.8
258,27.5
259,27.1
260,26.6
261,26.2
262,25.8
263,25.4
264,24.8
265,24.3
266,23.8
267,23.4
268,23.1
269,22.4
270,21.5
271,21.0
272,20.7
273,20.3
274,20.1
275,19.8
276,19.4
277,18.8
278,17.9
279,17.4
280,16.9
281,16.7
282,16.5
283,16.2
284,15.5
285,14.7
286,14.4
287,14.1
288,13.9
289,13.4
290,13.1
291,12.9
292,12.2
293,11.6
294,10.8
295,10.2
296,9.9
297,9.7
298,9.6
299,9.1
300,8.3
301,7.8
302,7.3
303,6.8
304,6.6
305,6.3
306,5.5
307,4.8
308,4.2
309,4.0
310,3.7
311,3.4
312,3.1
313,2.7
314,2.2
315,1.5
316,1.0
317,0.5
318,0.0
319,-0.7
320,-1.0
321,-1.0
322,-1.0
323,-1.5
324,-2.1
325,-2.9
326,-3.7
327,-4.5
328,-4.9
329,-5.1
330,-5.4
331,-5.9
332,-6.5
333,-7.0
334,-7.2
335,-7.4
336,-8.0
337,-8.6
338,-9.1
339,-9.6
340,-9.7
341,-10.0
342,-10.4
343,-10.8
344,-11.4
345,-11.9
346,-12.3
347,-12.8
348,-13.3
349,-13.7
350,-14.1
351,-14.5
352,-14.9
353,-15.3
354,-15.6
355,-16.0
356,-16.3
357,-16.6
358,-16.9
359,-17.2
360,-17.5
361,-17.8
362,-18.0
363,-18.2
364,-18.5
365,-18.7
366,-18.9
367,-19.2
368,-19.3
369,-19.5
370,-19.7
371,-19.9
372,-20.1
373,-20.2
374,-20.3
375,-20.5
376,-20.6
377,-20.8
378,-20.9
379,-21.0
380,-21.1
381,-21.3
382,-21.4
383,-21.5
384,-21.5
385,-21.6
386,-21.7
387,-21.8
388,-21.9
389,-21.8
390,-21.4
391,-21.1
392,-20.9
393,-20.7
394,-20.2
395,-19.6
396,-19.4
397,-19.0
398,-18.6
399,-18.2
400,-17.9
401,-17.6
402,-17.1
403,-16.5
404,-16.2
405,-15.7
406,-15.2
407,-14.6
408,-14.0
409,-13.7
410,-13.3
411,-12.7
412,-12.2
413,-11.8
414,-11.4
415,-10.9
416,-10.8
417,-10.4
418,-9.8
419,-9.3
420,-8.6
421,-8.0
422,-7.6
423,-7.4
424,-6.9
425,-6.4
426,-5.9
427,-5.4
428,-4.9
429,-4.6
430,-4.1
431,-3.6
432,-3.0
433,-2.6
434,-2.1
435,-1.6
436,-1.1
437,-0.6
438,-0.1
439,0.3
440,0.6
441,1.1
442,1.5
443,2.0
444,2.4
445,2.8
446,3.1
447,3.4
448,3.8
449,4.8
450,5.6
451,6.3
452,6.7
453,7.1
454,7.3
455,7.6
456,7.8
457,8.2
458,8.3
459,9.0
460,10.5
461,11.3
462,11.7
463,11.7
464,11.6
465,11.7
466,11.9
467,12.7
468,13.1
469,13.5
470,14.0
471,15.5
472,16.4
473,16.9
474,17.2
475,17.3
476,17.4
477,17.5
478,17.5
479,17.8
480,19.4
481,20.8
482,21.3
483,21.6
484,21.5
485,21.3
486,21.2
487,21.2
488,22.1
489,23.5
490,25.2
491,25.9
492,26.1
493,25.9
494,25.7
495,25.5
496,25.6
497,26.8
498,28.6
499,29.7
500,30.0
501,29.9
502,29.5
503,29.3
504,29.8
505,31.4
506,33.4
507,34.3
508,34.1
509,33.3
510,32.8
511,33.0
512,34.5
513,35.7
514,36.1
515,36.1
516,36.0
517,35.9
518,36.8
519,38.2
520,39.0
521,39.2
522,39.0
523,38.9
524,39.2
525,40.3
526,41.8
527,42.6
528,42.8
529,42.6
530,42.5
531,42.5
532,42.9
533,43.7
534,45.0
535,46.1
536,46.3
537,46.1
538,45.8
539,45.7
540,46.1
541,47.3
542,48.8
543,49.4
544,49.4
545,49.2
546,48.7
547,49.2
548,50.4
549,51.9
550,53.0
551,53.3
552,53.1
553,52.6
554,52.3
555,52.5
556,53.4
557,54.7
558,56.0
559,56.5
560,56.4
561,56.1
562,55.7
563,55.9
564,56.9
565,58.1
566,58.9
567,59.1
568,58.7
569,58.6
570,59.2
571,60.2
572,61.3
573,61.6
574,61.5
575,60.9
576,60.7
577,61.1
578,62.0
579,63.2
580,64.1
581,65.1
582,65.1
583,64.8
584,64.9
585,65.5
586,66.5
587,67.0
588,66.9
589,66.5
590,66.4
591,66.9
592,67.6
593,68.4
594,69.1
595,69.7
596,69.5
597,68.9
598,68.2
599,68.2
600,68.7
601,69.2
602,70.0
603,70.8
604,71.1
605,70.5
606,69.7
607,68.6
608,67.9
609,67.7
610,67.9
611,67.9
612,67.4
613,66.5
614,65.6
615,65.2
616,65.5
617,65.4
618,64.8
619,64.1
620,63.4
621,63.5
622,63.5
623,63.4
624,63.0
625,62.4
626,61.5
627,60.9
628,60.8
629,60.7
630,60.4
631,60.0
632,59.3
633,58.4
634,57.7
635,57.8
636,57.9
637,57.6
638,57.0
639,56.3
640,55.9
641,55.5
642,55.0
643,54.9
644,54.6
645,54.0
646,53.3
647,53.1
648,53.4
649,53.3
650,53.0
651,52.4
652,51.6
653,50.9
654,50.0
655,49.6
656,49.3
657,49.4
658,49.3
659,48.9
660,48.5
661,47.8
662,47.1
663,46.4
664,45.7
665,45.3
666,45.7
667,45.8
668,45.6
669,44.9
670,43.9
671,43.2
672,42.5
673,42.1
674,41.7
675,41.1
676,40.7
677,40.5
678,40.2
679,39.8
680,39.2
681,38.7
682,38.0
683,37.4
684,37.2
685,37.1
686,36.7
687,36.6
688,36.5
689,36.1
690,35.3
691,34.6
692,34.0
693,33.5
694,32.9
695,32.4
696,31.8
697,31.3
698,31.2
699,31.2
700,31.0
701,30.7
702,30.3
703,30.0
704,29.5
705,29.1
706,28.7
707,28.1
708,27.6
709,27.1
710,26.7
711,26.3
712,25.9
713,25.6
714,25.3
715,24.9
716,24.3
717,23.8
718,23.4
719,23.1
720,22.8
721,22.1
722,21.4
723,20.8
724,20.3
725,19.9
726,19.6
727,19.4
728,19.1
729,18.9
730,18.5
731,17.9
732,17.3
733,16.9
734,16.6
735,16.4
736,16.2
737,15.7
738,14.9
739,14.4
740,13.8
741,13.4
742,13.1
743,13.0
744,12.7
745,12.3
746,11.8
747,11.4
748,11.1
749,10.6
750,9.9
751,9.5
752,9.3
753,9.0
754,8.4
755,8.0
756,7.4
757,7.1
758,6.8
759,6.2
760,5.6
761,5.1
762,4.9
763,4.7
764,4.5
765,4.0
766,3.5
767,3.2
768,2.8
769,2.5
770,2.1
771,1.5
772,1.0
773,0.6
774,0.2
775,-0.2
776,-0.5
777,-1.0
778,-1.4
779,-2.0
780,-2.5
781,-2.9
782,-3.2
783,-3.4
784,-3.6
785,-4.0
786,-4.6
787,-5.0
788,-5.7
789,-6.2
790,-6.6
791,-7.0
792,-7.4
793,-7.8
794,-8.1
795,-8.5
796,-8.9
797,-9.3
798,-9.7
799,-10.1
800,-10.5
801,-11.0
802,-11.3
803,-11.7
804,-12.0
805,-12.4
806,-12.7
807,-13.1
808,-13.3
809,-13.7
810,-14.1
811,-14.2
812,-14.6
813,-14.8
814,-15.0
815,-15.1
816,-15.4
817,-15.6
818,-15.8
819,-16.0
820,-16.3
821,-16.5
822,-16.7
823,-16.9
824,-17.1
825,-17.3
826,-17.5
827,-17.6
828,-17.7
829,-17.9
830,-18.0
831,-18.1
832,-18.2
833,-18.3
834,-18.4
835,-18.5
836,-18.6
837,-18.8
838,-18.8
839,-18.9
840,-19.0
841,-19.0
842,-18.8
843,-18.4
844,-17.7
845,-17.1
846,-16.9
847,-16.8
848,-16.8
849,-16.5
850,-16.1
851,-15.6
852,-15.1
853,-14.9
854,-14.6
855,-14.3
856,-13.8
857,-13.2
858,-12.7
859,-12.6
860,-12.3
861,-11.8
862,-11.2
863,-10.8
864,-10.6
865,-10.1
866,-9.7
867,-9.4
868,-9.1
869,-8.5
870,-8.1
871,-7.7
872,-7.3
873,-6.8
874,-6.3
875,-6.0
876,-5.8
877,-5.3
878,-4.8
879,-4.3
880,-3.7
881,-3.4
882,-3.5
883,-3.4
884,-3.1
885,-2.3
886,-1.2
887,-0.6
888,-0.2
889,0.3
890,0.8
891,1.3
892,1.5
893,1.8
894,2.1
895,2.3
896,2.7
897,3.2
898,3.5
899,3.9
900,4.3
901,4.6
902,5.2
903,6.1
904,6.8
905,7.3
906,7.8
907,8.2
908,8.5
909,8.7
910,8.9
911,9.1
912,9.3
913,9.9
914,10.7
915,11.2
916,11.6
917,11.9
918,12.1
919,12.2
920,12.4
921,12.6
922,12.7
923,12.8
924,12.9
925,12.9
926,13.0
927,13.1
928,13.2
929,13.2
930,13.3
931,13.4
932,13.4
933,13.5
934,13.5
935,13.6
936,13.6
937,13.6
938,13.7
939,13.7
940,13.8
941,13.8
942,13.9
943,13.9
944,13.9
945,13.9
946,13.9
947,14.0
948,14.0
949,14.1
950,14.1
951,14.1
952,14.1
953,14.1
954,14.2
955,14.2
956,14.2
957,14.2
958,14.2
959,14.2
960,14.3
961,14.3
962,14.3
963,13.9
964,13.5
965,13.3
966,13.4
967,14.7
968,16.1
969,16.7
970,16.4
971,16.4
972,16.3
973,16.3
974,16.9
975,18.0
976,18.8
977,19.1
978,19.4
979,19.4
980,19.4
981,19.4
982,20.0
983,21.6
984,22.6
985,22.8
986,22.6
987,22.5
988,22.5
989,23.5
990,24.7
991,25.3
992,25.4
993,25.3
994,25.3
995,25.1
996,25.4
997,26.7
998,28.4
999,29.2
1000,29.1
1001,28.7
1002,28.3
1003,28.5
1004,29.5
1005,30.7
1006,31.4
1007,31.5
1008,31.4
1009,31.2
1010,31.5
1011,32.5
1012,33.9
1013,34.8
1014,34.8
1015,34.4
1016,33.9
1017,33.9
1018,34.8
1019,36.0
1020,36.8
1021,37.2
1022,37.4
1023,37.3
1024,37.2
1025,37.7
1026,38.5
1027,38.8
1028,38.9
1029,39.5
1030,40.1
1031,40.5
1032,40.5
1033,40.7
1034,41.7
1035,42.6
1036,43.5
1037,43.9
1038,43.9
1039,43.6
1040,43.3
1041,43.7
1042,44.4
1043,45.6
1044,46.5
1045,46.6
1046,46.6
1047,46.6
1048,46.9
1049,47.5
1050,48.5
1051,49.2
1052,49.4
1053,49.3
1054,49.1
1055,49.4
1056,50.1
1057,51.2
1058,52.0
1059,52.2
1060,51.9
1061,51.8
1062,52.2
1063,52.9
1064,54.0
1065,54.7
1066,54.7
1067,54.4
1068,54.3
1069,54.8
1070,55.6
1071,56.7
1072,57.7
1073,58.0
1074,58.2
1075,58.5
1076,59.2
1077,59.6
1078,59.8
1079,59.6
1080,60.0
1081,60.5
1082,61.2
1083,62.2
1084,62.6
1085,62.6
1086,62.3
1087,62.5
1088,63.1
1089,64.1
1090,64.9
1091,65.1
1092,65.1
1093,65.4
1094,66.1
1095,66.9
1096,67.4
1097,67.4
1098,67.7
1099,68.0
1100,68.8
1101,69.0
1102,68.6
1103,68.0
1104,67.2
1105,66.7
1106,66.4
1107,66.5
1108,66.3
1109,65.6
1110,65.5
1111,65.4
1112,65.1
1113,64.9
1114,64.5
1115,63.9
1116,63.3
1117,62.7
1118,62.1
1119,61.8
1120,61.7
1121,61.7
1122,61.3
1123,60.7
1124,60.3
1125,59.7
1126,59.2
1127,59.2
1128,59.2
1129,58.9
1130,58.7
1131,58.2
1132,57.6
1133,57.1
1134,56.6
1135,56.3
1136,55.8
1137,55.1
1138,54.3
1139,53.6
1140,53.7
1141,54.1
1142,54.3
1143,53.7
1144,52.9
1145,51.9
1146,50.9
1147,50.5
1148,50.8
1149,51.2
1150,51.0
1151,50.5
1152,49.9
1153,49.1
1154,48.4
1155,47.7
1156,47.5
1157,47.5
1158,47.1
1159,46.6
1160,46.0
1161,45.5
1162,44.7
1163,44.0
1164,43.5
1165,43.6
1166,44.0
1167,43.9
1168,43.6
1169,42.9
1170,42.1
1171,41.3
1172,40.6
1173,40.3
1174,40.4
1175,40.3
1176,40.0
1177,39.4
1178,38.8
1179,38.1
1180,37.5
1181,36.9
1182,36.4
1183,35.8
1184,35.5
1185,35.3
1186,35.0
1187,34.7
1188,34.3
1189,33.9
1190,33.4
1191,33.0
1192,32.5
1193,32.0
1194,31.5
1195,31.1
1196,30.8
1197,30.3
1198,29.9
1199,29.5
1200,29.0
1201,28.6
1202,28.2
1203,27.9
1204,27.5
1205,27.2
1206,26.9
1207,26.5
1208,26.1
1209,25.7
1210,25.4
1211,25.1
1212,24.9
1213,24.5
1214,24.0
1215,23.5
1216,23.0
1217,22.7
1218,22.3
1219,22.0
1220,21.7
1221,21.1
1222,20.6
1223,20.2
1224,19.9
1225,19.6
1226,19.2
1227,18.9
1228,18.5
1229,17.9
1230,17.3
1231,17.0
1232,16.5
1233,16.2
1234,15.9
1235,15.6
1236,15.2
1237,14.6
1238,14.2
1239,13.7
1240,13.4
1241,13.1
1242,12.6
1243,12.2
1244,11.9
1245,11.8
1246,11.4
1247,11.1
1248,10.6
1249,10.0
1250,9.8
1251,9.4
1252,9.1
1253,8.8
1254,8.5
1255,7.9
1256,7.3
1257,7.0
1258,6.9
1259,6.6
1260,6.1
1261,5.5
1262,4.9
1263,4.6
1264,4.5
1265,4.3
1266,4.1
1267,3.6
1268,3.1
1269,2.4
1270,2.1
1271,1.8
1272,1.4
1273,1.2
1274,0.8
1275,0.5
1276,-0.1
1277,-0.6
1278,-1.1
1279,-1.4
1280,-1.6
1281,-2.1
1282,-2.4
1283,-2.7
1284,-3.1
1285,-3.5
1286,-4.0
1287,-4.3
1288,-4.6
1289,-4.8
1290,-5.0
1291,-5.3
1292,-5.7
1293,-6.2
1294,-6.6
1295,-7.0
1296,-7.2
1297,-7.6
1298,-7.9
1299,-8.3
1300,-8.7
1301,-8.9
1302,-9.2
1303,-9.4
1304,-9.8
1305,-10.2
1306,-10.4
1307,-10.7
1308,-10.9
1309,-11.1
1310,-11.5
1311,-11.5
1312,-11.6
1313,-11.7
1314,-11.9
1315,-12.2
1316,-12.6
1317,-12.8
1318,-13.0
1319,-13.2
1320,-13.3
1321,-13.5
1322,-13.6
1323,-13.8
1324,-13.9
1325,-14.0
1326,-14.1
1327,-14.2
1328,-14.4
1329,-14.4
1330,-14.6
1331,-14.7
1332,-14.8
1333,-14.9
1334,-15.0
1335,-15.1
1336,-15.2
1337,-15.1
1338,-15.2
1339,-15.2
1340,-15.1
1341,-15.0
1342,-14.5
1343,-14.2
1344,-14.0
1345,-13.8
1346,-13.6
1347,-13.3
1348,-12.8
1349,-12.5
1350,-12.5
1351,-12.3
1352,-11.9
1353,-11.5
1354,-11.3
1355,-11.1
1356,-10.6
1357,-10.2
1358,-9.7
1359,-9.2
1360,-9.0
1361,-8.8
1362,-8.3
1363,-7.9
1364,-7.7
1365,-7.4
1366,-6.9
1367,-6.5
1368,-6.1
1369,-5.6
1370,-5.3
1371,-5.1
1372,-4.8
1373,-4.4
1374,-3.9
1375,-3.5
1376,-3.1
1377,-2.7
1378,-2.3
1379,-1.8
1380,-1.5
1381,-1.2
1382,-0.8
1383,-0.4
1384,0.1
1385,0.5
1386,1.0
1387,1.4
1388,1.9
1389,2.2
1390,2.3
1391,2.5
1392,2.6
1393,2.9
1394,3.2
1395,3.9
1396,4.7
1397,5.5
1398,6.1
1399,6.3
1400,6.5
1401,6.8
1402,7.0
1403,7.4
1404,7.6
1405,7.9
1406,8.1
1407,8.9
1408,9.5
1409,10.1
1410,10.5
1411,10.9
1412,11.1
1413,11.3
1414,11.6
1415,11.8
1416,12.0
1417,12.1
1418,12.3
1419,12.4
1420,12.5
1421,12.6
1422,12.7
1423,12.8
1424,13.0
1425,13.0
1426,13.2
1427,13.3
1428,13.3
1429,13.4
1430,13.5
1431,13.6
1432,13.7
1433,13.8
1434,13.8
1435,13.9
1436,13.9
1437,14.0
1438,14.1
1439,14.1
1440,14.1
1441,14.2
1442,14.2
1443,14.3
1444,14.3
1445,14.4
1446,14.4
1447,14.5
1448,14.5
1449,14.6
1450,14.6
1451,14.7
1452,14.7
1453,14.7
1454,14.8
