Date/Time,999 [°C]
25/06/2025 15:31:30,17.1
25/06/2025 15:31:31,17.2
25/06/2025 15:31:32,17.0
25/06/2025 15:31:33,17.0
25/06/2025 15:31:34,17.0
25/06/2025 15:31:35,17.0
25/06/2025 15:31:36,17.0
25/06/2025 15:31:37,17.0
25/06/2025 15:31:38,17.0
25/06/2025 15:31:39,17.0
25/06/2025 15:31:40,16.9
25/06/2025 15:31:41,16.9
25/06/2025 15:31:42,17.0
25/06/2025 15:31:43,16.9
25/06/2025 15:31:44,17.0
25/06/2025 15:31:45,17.3
25/06/2025 15:31:46,17.6
25/06/2025 15:31:47,18.1
25/06/2025 15:31:48,18.7
25/06/2025 15:31:49,19.5
25/06/2025 15:31:50,20.1
25/06/2025 15:31:51,20.5
25/06/2025 15:31:52,20.8
25/06/2025 15:31:53,21.0
25/06/2025 15:31:54,21.7
25/06/2025 15:31:55,23.1
25/06/2025 15:31:56,24.3
25/06/2025 15:31:57,25.0
25/06/2025 15:31:58,25.1
25/06/2025 15:31:59,25.2
25/06/2025 15:32:00,25.2
25/06/2025 15:32:01,25.3
25/06/2025 15:32:02,26.3
25/06/2025 15:32:03,27.6
25/06/2025 15:32:04,28.5
25/06/2025 15:32:05,29.0
25/06/2025 15:32:06,29.3
25/06/2025 15:32:07,29.4
25/06/2025 15:32:08,30.0
25/06/2025 15:32:09,30.9
25/06/2025 15:32:10,31.7
25/06/2025 15:32:11,32.1
25/06/2025 15:32:12,32.2
25/06/2025 15:32:13,32.8
25/06/2025 15:32:14,33.9
25/06/2025 15:32:15,35.4
25/06/2025 15:32:16,36.2
25/06/2025 15:32:17,36.6
25/06/2025 15:32:18,36.7
25/06/2025 15:32:19,36.7
25/06/2025 15:32:20,37.4
25/06/2025 15:32:21,38.7
25/06/2025 15:32:22,39.8
25/06/2025 15:32:23,40.5
25/06/2025 15:32:24,40.7
25/06/2025 15:32:25,40.8
25/06/2025 15:32:26,41.1
25/06/2025 15:32:27,42.0
25/06/2025 15:32:28,42.8
25/06/2025 15:32:29,43.2
25/06/2025 15:32:30,43.8
25/06/2025 15:32:31,44.8
25/06/2025 15:32:32,46.1
25/06/2025 15:32:33,46.8
25/06/2025 15:32:34,47.1
25/06/2025 15:32:35,47.2
25/06/2025 15:32:36,47.1
25/06/2025 15:32:37,47.6
25/06/2025 15:32:38,48.6
25/06/2025 15:32:39,49.9
25/06/2025 15:32:40,51.0
25/06/2025 15:32:41,51.9
25/06/2025 15:32:42,52.1
25/06/2025 15:32:43,52.1
25/06/2025 15:32:44,52.1
25/06/2025 15:32:45,52.7
25/06/2025 15:32:46,53.7
25/06/2025 15:32:47,54.5
25/06/2025 15:32:48,55.3
25/06/2025 15:32:49,55.5
25/06/2025 15:32:50,56.1
25/06/2025 15:32:51,57.0
25/06/2025 15:32:52,57.2
25/06/2025 15:32:53,56.8
25/06/2025 15:32:54,56.0
25/06/2025 15:32:55,54.7
25/06/2025 15:32:56,53.7
25/06/2025 15:32:57,53.4
25/06/2025 15:32:58,53.6
25/06/2025 15:32:59,53.4
25/06/2025 15:33:00,52.9
25/06/2025 15:33:01,52.5
25/06/2025 15:33:02,51.6
25/06/2025 15:33:03,51.0
25/06/2025 15:33:04,50.6
25/06/2025 15:33:05,49.9
25/06/2025 15:33:06,49.5
25/06/2025 15:33:07,49.0
25/06/2025 15:33:08,48.5
25/06/2025 15:33:09,47.8
25/06/2025 15:33:10,47.4
25/06/2025 15:33:11,47.4
25/06/2025 15:33:12,46.9
25/06/2025 15:33:13,46.6
25/06/2025 15:33:14,46.0
25/06/2025 15:33:15,45.4
25/06/2025 15:33:16,44.6
25/06/2025 15:33:17,44.0
25/06/2025 15:33:18,43.3
25/06/2025 15:33:19,42.6
25/06/2025 15:33:20,41.8
25/06/2025 15:33:21,41.1
25/06/2025 15:33:22,40.7
25/06/2025 15:33:23,40.4
25/06/2025 15:33:24,40.5
25/06/2025 15:33:25,40.2
25/06/2025 15:33:26,39.6
25/06/2025 15:33:27,38.9
25/06/2025 15:33:28,38.3
25/06/2025 15:33:29,37.8
25/06/2025 15:33:30,37.0
25/06/2025 15:33:31,36.2
25/06/2025 15:33:32,35.3
25/06/2025 15:33:33,34.6
25/06/2025 15:33:34,33.9
25/06/2025 15:33:35,33.3
25/06/2025 15:33:36,32.9
