t,temp
0,14.9
1,14.9
2,14.9
3,14.9
4,15.0
5,14.9
6,14.9
7,14.9
8,14.8
9,14.8
10,14.9
11,14.9
12,14.8
13,14.8
14,14.8
15,14.9
16,15.0
17,16.2
18,17.4
19,18.2
20,18.6
21,18.8
22,19.0
23,19.3
24,20.1
25,20.7
26,22.1
27,22.6
28,22.7
29,22.8
30,23.1
31,23.7
32,24.6
33,25.1
34,26.1
35,26.2
36,26.4
37,27.0
38,28.1
39,29.2
40,29.9
41,30.2
42,30.5
43,30.8
44,31.3
45,31.6
46,33.2
47,34.4
48,35.3
49,35.6
50,35.7
51,36.0
52,36.6
53,37.4
54,37.9
55,38.3
56,38.7
57,39.4
58,40.5
59,41.5
60,42.1
61,42.2
62,42.2
63,42.6
64,43.4
65,44.4
66,45.5
67,46.2
68,46.7
69,46.8
70,47.2
71,47.7
72,48.7
73,49.7
74,50.7
75,51.4
76,52.0
77,52.2
78,52.7
79,52.9
80,53.4
81,54.2
82,54.6
83,55.8
84,56.3
85,56.7
86,57.3
87,58.1
88,58.9
89,59.6
90,60.3
91,60.8
92,61.2
93,61.7
94,62.0
95,62.9
96,63.6
97,64.0
98,65.0
99,65.6
100,66.3
101,66.8
102,67.3
103,67.9
104,68.5
105,68.8
106,69.1
107,68.9
108,67.6
109,66.7
110,66.2
111,66.0
112,65.9
113,65.7
114,65.3
115,64.7
116,63.8
117,62.9
118,62.2
119,62.1
120,62.2
121,62.0
122,61.5
123,61.1
124,60.1
125,59.9
126,59.9
127,59.6
128,58.8
129,57.8
130,56.8
131,56.1
132,55.6
133,55.1
134,54.4
135,53.9
136,53.9
137,54.1
138,53.8
139,52.9
140,51.6
141,50.4
142,49.4
143,48.8
144,48.6
145,48.5
146,48.2
147,47.5
148,47.1
149,45.7
150,44.9
151,44.5
152,44.3
153,44.1
154,43.6
155,43.0
156,42.1
157,41.1
158,40.0
159,39.3
160,38.8
161,38.7
162,37.9
163,37.2
164,36.9
165,36.2
166,35.7
167,35.3
168,34.7
169,33.8
170,33.0
171,32.2
172,31.3
173,30.5
174,29.7
175,29.3
176,28.5
177,28.0
178,27.5
179,26.9
180,26.3
181,25.8
182,25.2
183,24.8
184,23.8
185,23.2
186,23.0
187,21.9
188,21.1
189,20.4
190,19.7
191,19.5
192,18.8
193,18.2
194,17.4
195,16.6
196,16.0
197,15.5
198,15.1
199,14.9
200,14.5
201,13.4
202,12.4
203,11.4
204,10.9
205,10.0
206,9.7
207,9.4
208,9.2
209,8.4
210,8.0
211,6.8
212,6.0
213,5.4
214,4.7
215,3.9
216,3.0
217,2.2
218,1.9
219,1.1
220,0.5
221,-0.1
222,-0.6
223,-1.3
224,-1.9
225,-2.6
226,-3.3
227,-3.9
228,-4.6
229,-5.2
230,-5.8
231,-6.4
232,-6.9
233,-7.5
234,-8.0
235,-8.2
236,-9.0
237,-9.5
238,-9.9
239,-10.3
240,-10.5
241,-11.1
242,-11.5
243,-11.6
244,-12.0
245,-12.5
246,-12.8
247,-13.2
248,-13.5
249,-13.7
250,-14.0
251,-14.3
252,-14.4
253,-14.8
254,-15.0
255,-15.2
256,-15.3
257,-15.6
258,-15.8
259,-16.0
260,-16.2
261,-16.3
262,-16.3
263,-16.0
264,-15.8
265,-15.0
266,-14.5
267,-14.4
268,-13.8
269,-13.2
270,-12.8
271,-11.9
272,-11.4
273,-10.9
274,-10.3
275,-9.7
276,-9.3
277,-8.8
278,-8.5
279,-8.4
280,-7.9
281,-6.6
282,-5.7
283,-5.3
284,-4.5
285,-3.9
286,-3.3
287,-3.0
288,-2.6
289,-2.2
290,-1.3
291,-0.4
292,0.0
293,1.1
294,1.6
295,1.9
296,2.4
297,3.3
298,4.3
299,4.9
300,5.6
301,5.9
