t,temp
0,17.1
1,17.2
2,17.0
3,17.0
4,17.0
5,17.0
6,17.0
7,17.0
8,17.0
9,17.0
10,16.9
11,16.9
12,17.0
13,16.9
14,17.0
15,17.3
16,17.6
17,18.1
18,18.7
19,19.5
20,20.1
21,20.5
22,20.8
23,21.0
24,21.7
25,23.1
26,24.3
27,25.0
28,25.1
29,25.2
30,25.2
31,25.3
32,26.3
33,27.6
34,28.5
35,29.0
36,29.3
37,29.4
38,30.0
39,30.9
40,31.7
41,32.1
42,32.2
43,32.8
44,33.9
45,35.4
46,36.2
47,36.6
48,36.7
49,36.7
50,37.4
51,38.7
52,39.8
53,40.5
54,40.7
55,40.8
56,41.1
57,42.0
58,42.8
59,43.2
60,43.8
61,44.8
62,46.1
63,46.8
64,47.1
65,47.2
66,47.1
67,47.6
68,48.6
69,49.9
70,51.0
71,51.9
72,52.1
73,52.1
74,52.1
75,52.7
76,53.7
77,54.5
78,55.3
79,55.5
80,56.1
81,57.0
82,57.2
83,56.8
84,56.0
85,54.7
86,53.7
87,53.4
88,53.6
89,53.4
90,52.9
91,52.5
92,51.6
93,51.0
94,50.6
95,49.9
96,49.5
97,49.0
98,48.5
99,47.8
100,47.4
101,47.4
102,46.9
103,46.6
104,46.0
105,45.4
106,44.6
107,44.0
108,43.3
109,42.6
110,41.8
111,41.1
112,40.7
113,40.4
114,40.5
115,40.2
116,39.6
117,38.9
118,38.3
119,37.8
120,37.0
121,36.2
122,35.3
123,34.6
124,33.9
125,33.3
126,32.9
127,32.3
128,31.9
129,31.1
130,30.5
131,30.0
132,29.5
133,29.0
134,28.4
135,27.8
136,26.8
137,25.7
138,25.1
139,24.4
140,24.1
141,23.6
142,23.1
143,22.6
144,22.1
145,21.2
146,20.3
147,19.7
148,19.0
149,18.5
150,18.0
151,17.5
152,16.9
153,16.2
154,15.7
155,15.0
156,14.4
157,13.7
158,13.1
159,12.3
160,11.8
161,11.5
162,11.3
163,10.7
164,10.0
165,9.3
166,8.6
167,8.2
168,7.8
169,7.2
170,6.4
171,5.6
172,4.8
173,4.3
174,4.1
175,3.9
176,3.4
177,2.9
178,2.4
179,1.8
180,1.1
181,0.4
182,0.0
183,-0.5
184,-1.1
185,-1.6
186,-2.2
187,-2.5
188,-3.0
189,-3.4
190,-3.8
191,-4.2
192,-4.8
193,-5.2
194,-5.6
195,-6.0
196,-6.3
197,-6.7
198,-7.0
199,-7.4
200,-7.8
201,-8.1
202,-8.5
203,-8.7
204,-9.0
205,-9.2
206,-9.4
207,-9.5
208,-9.7
209,-10.0
210,-10.2
211,-10.5
212,-10.8
213,-10.6
214,-10.6
215,-10.4
216,-10.1
217,-9.8
218,-9.5
219,-9.0
220,-8.6
221,-8.4
222,-8.3
223,-7.8
224,-7.6
225,-7.2
226,-6.8
227,-6.2
228,-5.7
229,-5.2
230,-4.5
231,-3.7
232,-2.7
233,-2.2
234,-1.9
235,-1.6
236,-1.2
237,-0.7
238,-0.4
239,0.2
240,0.7
241,1.2
242,1.8
243,2.7
244,3.6
245,4.2
246,5.0
247,5.5
248,5.9
249,6.2
250,6.5
251,7.0
252,7.8
253,9.3
254,10.5
255,11.0
256,11.1
257,11.3
258,11.8
259,12.3
260,13.3
261,14.0
262,14.4
263,14.7
264,15.0
265,15.9
266,16.7
267,17.4
268,18.0
269,18.4
270,18.6
271,19.2
272,20.1
273,20.6
274,21.2
275,21.6
276,22.1
277,22.6
278,23.4
279,24.3
280,24.8
281,25.2
282,25.5
283,26.0
284,27.0
285,27.9
286,28.4
287,28.6
288,28.8
289,29.3
290,30.3
291,31.0
292,31.5
293,32.1
294,32.8
295,33.8
296,34.4
297,34.7
298,34.8
299,35.4
300,36.6
301,37.8
302,38.6
303,39.1
304,39.2
305,39.7
306,40.9
307,41.8
308,42.3
309,42.4
310,42.5
311,43.2
312,44.5
313,45.5
314,46.0
315,46.1
316,46.5
317,47.4
318,48.5
319,49.0
320,49.0
321,49.0
322,49.6
323,50.8
324,52.2
325,53.1
326,53.5
327,53.5
328,53.9
329,54.5
330,55.7
331,57.0
332,57.5
333,57.6
334,57.4
335,57.0
336,56.5
337,55.7
338,55.0
339,54.3
340,53.3
341,53.0
342,53.5
343,53.8
344,53.7
345,53.0
346,52.0
347,51.0
348,50.0
349,49.6
350,49.4
351,49.1
352,48.6
353,47.8
354,47.3
355,46.6
356,45.9
357,45.4
358,44.7
359,43.8
360,43.2
361,42.4
362,41.7
363,41.0
364,40.5
365,40.2
366,40.4
367,40.3
368,39.4
369,38.3
370,37.4
371,36.7
372,36.1
373,35.3
374,34.8
375,34.3
376,33.8
377,33.3
378,32.8
379,32.1
380,31.5
381,31.0
382,30.3
383,29.8
384,29.2
385,28.9
386,28.4
387,28.0
388,27.2
389,26.2
390,25.5
391,24.9
392,24.5
393,24.1
394,23.5
395,22.8
396,21.8
397,21.2
398,20.8
399,20.3
400,19.5
401,18.6
402,17.8
403,17.1
404,16.5
405,16.3
406,15.9
407,15.4
408,14.7
409,13.9
410,13.1
411,12.4
412,11.8
413,11.6
414,11.2
415,10.7
416,10.0
417,9.2
418,8.4
419,7.9
420,7.7
421,7.2
422,6.7
423,6.0
424,5.2
425,4.4
426,3.7
427,3.2
428,2.7
429,2.1
430,2.0
431,1.6
432,1.1
433,0.7
434,0.2
435,-0.2
436,-0.8
437,-1.2
438,-1.7
439,-2.0
440,-2.4
441,-2.7
442,-3.2
443,-3.7
444,-4.1
445,-4.6
446,-4.9
447,-5.3
448,-5.7
449,-6.0
450,-6.1
451,-6.4
452,-6.8
453,-7.0
454,-7.1
455,-7.4
456,-7.9
457,-8.4
458,-8.6
459,-8.7
460,-9.0
461,-9.3
462,-9.4
463,-9.5
464,-9.8
465,-10.0
466,-10.3
467,-10.3
468,-10.0
469,-9.6
470,-9.0
471,-8.5
472,-8.0
473,-7.6
474,-7.0
475,-6.6
476,-6.4
477,-6.2
478,-5.7
479,-5.0
480,-4.6
481,-4.1
482,-3.5
483,-3.1
484,-2.5
485,-2.0
486,-1.6
487,-1.3
488,-0.8
489,-0.2
490,0.2
491,0.8
492,1.3
493,1.8
494,2.4
495,2.8
496,3.2
497,4.0
498,5.4
499,6.2
500,6.6
501,6.7
502,6.9
503,7.2
504,7.8
505,8.8
506,9.9
507,10.6
508,11.3
509,11.6
510,11.8
511,12.1
512,12.8
513,13.5
514,14.0
515,14.3
516,14.9
517,16.0
518,17.2
519,18.1
520,18.5
521,18.6
522,18.8
523,19.2
524,20.0
525,20.6
526,21.0
527,21.4
528,22.0
529,22.9
530,24.3
531,25.5
532,25.9
533,25.8
534,25.7
535,25.7
536,26.4
537,27.7
538,28.7
539,29.2
540,29.5
541,29.7
542,30.3
543,31.4
544,32.5
545,33.0
546,33.3
547,33.5
548,33.5
549,33.9
550,35.0
551,36.1
552,36.7
553,37.0
554,37.5
555,38.5
556,39.6
557,40.0
558,40.4
559,40.7
560,40.8
561,41.2
562,42.3
563,43.8
564,44.7
565,45.0
566,45.2
567,45.8
568,46.8
569,47.6
570,47.8
571,48.1
572,49.0
573,50.1
574,50.9
575,51.6
576,51.8
577,51.7
578,52.1
579,52.8
580,53.9
581,55.2
582,56.2
