t,temp
0,20.2
1,20.2
2,20.2
3,20.2
4,19.9
5,18.6
6,16.0
7,14.0
8,13.4
9,13.9
10,14.4
11,15.3
12,18.1
13,22.2
14,24.6
15,24.6
16,24.2
17,23.9
18,23.6
19,24.4
20,27.5
21,30.6
22,31.2
23,30.4
24,29.7
25,30.2
26,32.8
27,35.5
28,35.7
29,34.6
30,33.7
31,33.8
32,35.4
33,36.8
34,38.0
35,39.2
36,39.6
37,40.3
38,42.4
39,43.7
40,42.5
41,41.1
42,40.7
43,42.7
44,46.4
45,49.3
46,50.0
47,48.5
48,46.8
49,47.1
50,49.5
51,51.3
52,50.7
53,49.6
54,50.6
55,53.6
56,56.0
57,57.2
58,56.4
59,55.2
60,54.3
61,55.0
62,56.6
63,59.5
64,62.1
65,63.9
66,63.5
67,61.8
68,60.8
69,62.0
70,64.0
71,65.4
72,66.0
73,65.2
74,64.6
75,65.4
76,67.5
77,69.4
78,70.7
79,70.9
80,70.2
81,70.1
82,70.9
83,72.6
84,73.6
85,74.1
86,73.4
87,71.6
88,68.6
89,65.9
90,63.4
91,62.1
92,61.8
93,61.1
94,59.9
95,59.2
96,60.1
97,59.9
98,58.2
99,56.0
100,54.9
101,54.1
102,53.4
103,52.7
104,52.0
105,50.2
106,48.5
107,47.0
108,46.1
109,47.3
110,49.5
111,50.7
112,50.0
113,48.5
114,46.9
115,45.4
116,44.0
117,42.7
118,41.5
119,40.4
120,39.3
121,38.3
122,37.4
123,36.4
124,35.6
125,34.8
126,34.0
127,33.3
128,33.1
129,33.7
130,34.2
131,33.5
132,32.8
133,32.1
134,31.4
135,30.8
136,30.3
137,29.7
138,29.3
139,28.8
140,28.4
141,27.9
142,27.5
143,27.2
144,26.5
145,25.4
146,24.5
147,24.4
148,24.3
149,23.3
150,21.8
151,20.7
152,20.8
153,20.1
154,18.1
155,16.0
156,15.4
157,15.9
158,16.4
159,16.5
160,16.0
161,14.3
162,12.5
163,11.3
164,11.4
165,12.1
166,12.1
167,10.8
168,9.8
169,9.4
170,8.3
171,6.7
172,5.5
173,4.9
174,4.9
175,5.5
176,5.4
177,3.9
178,2.3
179,1.9
180,2.2
181,1.7
182,0.1
183,-0.9
184,-1.6
185,-2.4
186,-3.0
187,-3.0
188,-3.1
189,-4.2
190,-5.3
191,-6.2
192,-6.9
193,-6.7
194,-6.4
195,-6.7
196,-7.6
197,-8.4
198,-9.1
199,-9.7
200,-10.3
201,-10.8
202,-11.2
203,-11.6
204,-12.0
205,-12.4
206,-12.8
207,-13.1
208,-13.4
209,-13.6
210,-13.9
211,-14.1
212,-14.3
213,-14.5
214,-14.7
215,-14.8
216,-15.0
217,-15.1
218,-15.2
219,-15.3
220,-15.4
221,-15.5
222,-15.6
223,-15.7
224,-15.8
225,-15.9
226,-16.0
227,-16.0
228,-16.1
229,-16.1
230,-16.2
231,-16.3
232,-15.3
233,-14.1
234,-12.2
235,-10.2
236,-8.2
237,-6.8
238,-6.0
239,-5.8
240,-5.8
241,-5.5
242,-5.2
243,-4.6
244,-3.1
245,-1.5
246,-0.1
247,0.6
248,1.2
249,1.5
250,1.4
251,1.5
252,1.9
253,2.6
254,3.7
255,4.8
256,5.9
257,6.8
258,7.6
259,8.3
260,9.1
261,9.8
262,10.4
263,11.0
264,11.5
265,12.1
266,12.6
267,13.0
268,13.5
269,13.9
270,14.3
271,14.6
272,14.9
273,15.3
274,15.6
275,15.9
276,16.1
277,16.4
278,18.1
279,20.9
280,22.8
281,22.8
282,22.6
283,22.4
284,22.2
285,22.4
286,25.0
287,28.5
288,30.2
289,29.6
290,28.9
291,28.3
292,28.8
293,30.6
294,32.0
295,31.9
296,31.6
297,32.1
298,32.5
299,32.9
300,34.3
301,35.4
302,35.2
303,35.5
304,38.1
305,41.4
306,42.2
307,40.9
308,39.8
309,39.8
310,40.1
311,41.6
312,44.5
313,46.3
314,45.7
315,45.0
316,45.8
317,47.6
318,48.9
319,48.4
320,47.1
321,47.6
322,49.6
323,51.9
324,52.5
325,51.9
326,51.3
327,52.5
328,54.9
329,56.9
330,56.9
331,56.1
332,56.0
333,56.2
334,56.9
335,57.9
336,60.3
337,61.7
338,61.3
339,59.9
340,59.5
341,61.1
342,63.6
343,65.8
344,67.9
345,69.5
346,69.4
347,67.6
348,65.5
349,65.7
350,67.7
351,69.8
352,71.5
353,73.0
354,74.2
355,74.5
356,73.9
357,72.5
358,70.2
359,67.4
360,64.8
361,62.9
362,62.2
363,61.9
364,60.5
365,59.1
366,59.6
367,60.3
368,59.4
369,57.2
370,55.1
371,53.3
372,51.5
373,50.5
374,51.7
375,54.8
376,56.4
377,55.6
378,53.6
379,51.6
380,49.9
381,48.3
382,46.7
383,45.3
384,44.0
385,42.8
386,41.6
387,40.5
388,40.1
389,41.4
390,42.5
391,41.8
392,40.5
393,39.4
394,38.4
395,37.4
396,36.5
397,35.6
398,34.8
399,34.1
400,33.3
401,32.7
402,32.1
403,31.4
404,30.9
405,30.3
406,29.8
407,29.3
408,28.9
409,28.5
410,28.1
411,27.7
412,27.3
413,27.0
414,26.6
415,26.3
416,26.0
417,25.7
418,25.5
419,24.5
420,23.3
421,22.3
422,21.3
423,20.1
424,19.0
425,18.9
426,18.9
427,18.5
428,18.1
429,18.0
430,16.6
431,15.0
432,13.9
433,13.9
434,14.2
435,13.8
436,13.0
437,12.4
438,10.3
439,8.8
440,8.6
441,9.0
442,9.0
443,8.3
444,7.3
445,6.4
446,5.4
447,3.6
448,2.8
449,3.2
450,4.3
451,4.0
452,2.5
453,0.8
454,-0.4
455,-0.9
456,-0.5
457,-0.6
458,-1.6
459,-3.0
460,-4.1
461,-4.3
462,-3.6
463,-3.3
464,-4.1
465,-5.2
466,-6.1
467,-7.0
468,-7.7
469,-8.4
470,-9.0
471,-9.6
472,-10.2
473,-10.7
474,-11.1
475,-11.5
476,-11.9
477,-12.2
478,-12.5
479,-12.9
480,-13.1
481,-13.3
482,-13.5
483,-13.8
484,-14.0
485,-14.2
486,-14.4
487,-14.5
488,-14.7
489,-14.8
490,-14.9
491,-15.0
492,-15.1
493,-15.2
494,-15.3
495,-15.4
496,-15.4
497,-15.5
498,-15.5
499,-15.6
500,-15.7
501,-15.8
502,-15.9
503,-15.9
504,-15.5
505,-13.9
506,-11.7
507,-9.5
508,-8.1
509,-7.9
510,-7.7
511,-6.8
512,-5.5
513,-4.3
514,-3.9
515,-4.0
516,-3.6
517,-2.1
518,-0.6
519,0.3
520,1.0
521,1.8
522,3.1
523,4.2
524,4.0
525,3.1
526,3.0
527,4.0
528,5.1
529,6.2
530,7.1
531,7.9
532,8.7
533,9.4
534,10.1
535,10.4
536,11.3
537,11.9
538,12.4
539,12.9
540,13.4
541,13.8
542,14.2
543,14.6
544,15.0
545,15.3
546,15.6
547,15.9
548,16.1
549,17.2
550,20.0
551,22.6
552,22.9
553,22.6
554,22.4
555,22.3
556,22.1
557,22.8
558,25.7
559,29.1
560,30.2
561,29.6
562,28.9
563,28.3
564,27.8
565,27.8
566,29.8
567,31.3
568,34.0
569,33.6
570,32.7
571,31.9
572,32.8
573,36.1
574,39.2
575,39.8
576,38.6
577,37.4
578,37.0
579,38.6
580,42.5
581,45.1
582,45.3
583,43.8
584,42.4
585,41.0
586,41.2
587,43.8
588,47.8
589,50.1
590,50.0
591,48.3
592,47.1
593,48.0
594,49.7
595,50.7
596,50.5
597,51.7
598,53.0
599,53.0
600,52.3
601,53.8
602,56.8
603,58.4
604,57.9
605,56.3
606,56.4
607,57.3
608,60.0
609,61.4
610,60.8
611,59.6
612,61.8
613,64.0
614,64.3
615,63.6
616,64.2
617,66.4
618,68.1
619,69.0
620,69.2
621,69.8
622,69.0
623,68.0
624,68.3
625,70.0
626,71.8
627,72.7
628,74.9
629,76.0
630,75.3
631,72.9
632,69.9
633,67.3
634,64.7
635,62.3
636,60.1
637,58.9
638,57.8
639,57.5
640,58.6
641,61.0
642,61.8
643,60.4
644,58.2
645,56.0
646,54.1
647,52.3
648,50.6
649,49.0
650,47.5
651,47.2
652,48.2
653,49.7
654,49.5
655,48.1
656,46.6
657,45.2
658,43.9
659,42.6
660,41.4
661,40.4
662,40.1
663,40.2
664,40.2
665,39.1
666,38.0
667,37.1
668,36.9
669,37.2
670,37.4
671,36.5
672,35.6
673,34.8
674,34.4
675,33.3
676,32.7
677,32.0
678,31.5
679,30.9
680,30.6
681,29.9
682,29.5
683,29.0
684,28.6
685,28.2
686,27.8
687,27.4
688,26.6
689,24.5
690,23.4
691,21.8
692,22.0
693,22.1
694,21.6
695,20.5
696,18.7
697,17.8
698,18.1
699,18.4
700,18.6
701,18.8
702,18.6
703,16.9
704,14.3
705,12.8
706,11.8
707,11.4
708,11.3
709,11.8
710,10.8
711,10.2
712,8.9
713,8.3
714,7.8
715,7.6
716,7.9
717,7.3
718,6.1
719,4.7
720,3.9
721,3.1
722,2.5
723,1.4
724,1.1
725,0.7
726,0.4
727,0.4
728,0.2
729,-1.0
730,-1.7
731,-3.5
732,-4.0
733,-4.4
734,-5.1
735,-5.7
736,-6.0
737,-6.3
738,-7.1
739,-7.9
740,-8.5
741,-9.1
742,-9.4
743,-10.2
744,-10.7
745,-11.1
746,-11.5
747,-11.9
748,-12.2
749,-12.5
750,-12.7
751,-13.0
752,-13.3
753,-13.5
754,-13.7
755,-13.9
756,-14.1
757,-14.2
758,-14.4
759,-14.5
760,-14.7
761,-14.8
762,-14.9
763,-15.0
764,-15.1
765,-15.2
766,-15.2
767,-15.3
768,-15.4
769,-15.5
770,-15.5
771,-15.6
772,-15.6
773,-15.7
774,-15.7
775,-15.8
776,-15.1
777,-13.4
778,-12.2
779,-9.0
780,-7.0
781,-6.0
782,-6.0
783,-6.0
784,-6.0
785,-5.6
786,-4.8
787,-3.9
788,-3.2
789,-2.7
790,-1.5
791,-0.7
792,1.4
793,2.6
794,3.2
795,4.3
796,4.6
797,4.5
798,5.0
799,6.0
800,6.9
801,7.8
802,8.6
803,9.3
804,9.3
805,9.3
806,9.9
807,10.7
808,11.3
809,11.9
810,12.2
811,13.0
812,13.2
813,13.9
814,14.1
815,14.7
816,15.1
817,15.3
818,15.8
819,16.1
820,16.4
821,17.4
822,19.7
823,22.3
824,23.2
825,23.0
826,22.8
827,22.6
828,22.5
829,22.3
830,22.3
831,22.1
832,22.1
833,21.9
834,21.9
835,21.8
836,21.8
837,21.7
838,21.7
839,21.6
840,21.6
841,21.5
842,21.5
843,21.5
844,21.5
845,21.5
846,21.4
847,21.4
848,21.4
849,21.4
850,21.4
851,21.3
852,21.3
853,21.3
854,21.3
855,21.3
856,21.3
857,21.3
858,21.3
859,21.3
860,21.3
861,21.3
862,21.3
863,21.3
864,21.3
865,21.3
