t,temp
0,14.1
1,14.1
2,14.1
3,14.2
4,14.2
5,14.1
6,18.3
7,23.2
8,26.5
9,31.5
10,37.4
11,41.2
12,42.6
13,45.8
14,49.9
15,52.5
16,53.8
17,56.0
18,58.9
19,60.7
20,61.4
21,63.1
22,65.2
23,66.0
24,67.3
25,68.2
26,70.0
27,71.0
28,71.4
29,72.6
30,73.4
31,74.1
32,72.9
33,67.2
34,59.7
35,57.1
36,51.1
37,43.7
38,38.9
39,38.6
40,34.3
41,31.8
42,31.0
43,30.4
44,27.9
45,22.1
46,18.6
47,17.3
48,14.3
49,11.8
50,10.8
51,9.4
52,6.9
53,3.7
54,1.7
55,0.9
56,-1.5
57,-3.0
58,-4.5
59,-5.3
60,-6.3
61,-8.1
62,-8.6
63,-9.6
64,-10.4
65,-11.6
66,-12.1
67,-12.7
68,-13.7
69,-14.2
70,-14.5
71,-15.0
72,-15.7
73,-16.0
74,-16.3
75,-15.7
76,-12.1
77,-5.2
78,0.3
79,8.3
80,9.1
81,9.2
82,9.2
83,11.3
84,20.7
85,26.5
86,27.4
87,27.4
88,28.5
89,31.7
90,36.3
91,38.9
92,41.8
93,40.6
94,40.8
95,43.9
96,49.3
97,50.4
98,53.2
99,56.4
100,58.5
101,59.8
102,61.4
103,64.2
104,65.8
105,66.3
106,67.7
107,69.0
108,70.6
109,71.0
110,72.0
111,72.9
112,74.1
113,74.6
114,72.0
115,63.9
116,61.1
117,54.8
118,49.2
119,42.0
120,39.2
121,34.7
122,31.8
123,31.2
124,31.0
125,29.5
126,25.0
127,19.9
128,17.9
129,14.9
130,12.6
131,11.1
132,10.9
133,8.0
134,5.6
135,2.6
136,1.5
137,0.0
138,-1.6
139,-4.0
140,-4.5
141,-5.8
142,-7.4
143,-8.1
144,-8.9
145,-9.8
146,-10.7
147,-11.5
148,-12.2
149,-12.9
150,-13.5
151,-13.9
152,-14.5
153,-15.0
154,-15.6
155,-15.9
156,-16.3
157,-14.6
158,-7.0
159,-3.3
160,5.2
161,8.7
162,8.8
163,9.7
164,16.7
165,21.7
166,20.8
167,20.5
168,23.5
169,29.2
170,34.0
171,34.7
172,36.0
173,40.3
174,44.0
175,44.6
176,45.4
177,48.8
178,51.7
179,53.8
180,56.2
181,58.4
182,60.4
183,62.3
184,64.1
185,65.6
186,66.8
187,68.1
188,69.4
189,70.9
190,71.6
191,72.6
192,73.4
193,74.6
194,74.9
195,71.6
196,66.0
197,58.9
198,52.8
199,47.4
200,43.3
201,38.5
202,34.1
203,33.7
204,33.1
205,32.1
206,27.5
207,24.3
208,20.7
209,17.4
210,16.1
211,14.8
212,11.8
213,9.2
214,7.2
215,5.0
216,3.0
217,1.1
218,-0.7
219,-2.2
220,-4.2
221,-4.7
222,-6.0
223,-7.1
224,-8.1
225,-8.5
