t,temp
0,16.5
1,16.5
2,16.5
3,16.5
4,16.5
5,16.5
6,16.5
7,16.5
8,16.5
9,16.5
10,16.5
11,16.5
12,16.4
13,16.5
14,16.4
15,16.5
16,16.4
17,16.5
18,16.5
19,16.5
20,16.5
21,16.5
22,17.2
23,19.8
24,23.7
25,27.5
26,30.9
27,34.0
28,36.6
29,39.0
30,41.1
31,43.2
32,44.9
33,46.5
34,48.0
35,49.4
36,50.6
37,51.7
38,52.8
39,53.7
40,54.6
41,55.4
42,56.1
43,56.7
44,57.3
45,57.9
46,58.4
47,58.9
48,59.3
49,59.7
50,60.1
51,60.5
52,60.8
53,61.1
54,61.4
55,61.6
56,61.8
57,62.0
58,62.2
59,62.4
60,62.6
61,62.7
62,62.8
63,63.0
64,63.1
65,63.2
66,63.3
67,63.4
68,63.5
69,63.5
70,63.6
71,63.7
72,63.8
73,63.8
74,63.8
75,63.9
76,63.9
77,64.0
78,64.0
79,64.1
80,64.1
81,64.1
82,64.2
83,64.2
84,64.2
85,64.2
86,64.2
87,64.3
88,64.3
89,64.3
90,64.3
91,64.4
92,64.4
93,64.4
94,64.4
95,64.4
96,64.4
97,64.4
98,64.4
99,64.5
100,64.5
101,64.5
102,64.5
103,64.5
104,64.5
105,64.5
106,64.5
107,64.6
108,64.6
109,64.6
110,64.5
111,64.5
112,64.5
113,64.5
114,64.6
115,64.6
116,64.6
117,64.6
118,64.6
119,64.6
120,64.6
121,64.6
122,64.4
123,63.3
124,61.0
125,58.3
126,55.9
127,53.6
128,51.5
129,49.4
130,47.6
131,45.9
132,44.2
133,42.6
134,41.2
135,39.9
136,38.6
137,37.4
138,36.2
139,35.1
140,34.1
141,33.2
142,32.3
143,31.4
144,30.6
145,29.9
146,29.1
147,28.5
148,27.8
149,27.2
150,26.6
151,26.1
152,25.6
153,25.1
154,24.7
155,24.3
156,23.9
157,23.4
158,23.1
159,22.7
160,22.4
161,22.1
162,21.8
163,21.6
164,21.3
165,21.1
166,20.8
167,20.6
168,20.4
169,20.2
170,20.0
171,19.9
172,19.8
173,19.6
174,19.4
175,19.3
176,19.2
177,19.1
178,19.0
179,18.9
180,18.8
181,18.6
182,18.6
183,18.5
184,18.4
185,18.3
186,18.3
187,18.1
188,18.0
189,18.0
190,17.9
191,17.9
192,17.8
193,17.8
194,17.7
195,17.7
196,17.6
197,17.6
198,17.5
199,17.5
200,17.4
201,17.4
202,17.4
203,17.4
204,17.4
205,17.3
206,17.3
207,17.2
208,17.2
209,17.2
210,17.1
211,17.1
212,17.1
213,17.1
214,17.1
215,17.0
216,17.0
217,17.1
218,17.1
219,17.0
220,17.0
221,17.0
222,17.0
223,17.0
224,17.0
225,17.0
226,17.0
227,17.0
228,16.9
229,16.9
230,17.0
231,17.0
232,17.0
233,16.9
234,16.9
235,16.9
236,16.9
237,16.9
238,16.9
239,16.8
240,15.6
241,13.5
242,11.2
243,9.3
244,7.5
245,5.9
246,4.4
247,3.1
248,1.9
249,0.8
250,-0.2
251,-1.2
252,-2.1
253,-2.9
254,-3.6
255,-4.4
256,-5.0
257,-5.6
258,-6.2
259,-6.7
260,-7.2
261,-7.7
262,-8.2
263,-8.6
264,-9.0
265,-9.4
266,-9.7
267,-10.0
268,-10.4
269,-10.6
270,-10.9
271,-11.2
272,-11.4
273,-11.6
274,-11.8
275,-12.0
276,-12.2
277,-12.4
278,-12.6
279,-12.8
280,-12.9
281,-13.2
282,-13.3
283,-13.5
284,-13.6
285,-13.8
286,-13.9
287,-14.0
288,-14.1
289,-14.2
290,-14.3
291,-14.4
292,-14.5
293,-14.6
294,-14.7
295,-14.7
296,-14.8
297,-14.8
298,-14.9
299,-15.0
300,-15.1
301,-15.1
302,-15.1
303,-15.2
304,-15.3
305,-15.3
306,-15.4
307,-15.4
308,-15.5
309,-15.5
310,-15.5
311,-15.5
312,-15.5
313,-15.6
314,-15.6
315,-15.6
316,-15.7
317,-15.7
318,-15.8
319,-15.8
320,-15.8
321,-15.9
322,-15.9
323,-15.9
324,-15.9
325,-16.0
326,-16.0
327,-16.0
328,-16.0
329,-16.0
330,-16.1
331,-16.1
332,-16.1
333,-16.1
334,-16.2
335,-16.2
336,-16.1
337,-16.1
338,-16.2
339,-16.2
340,-16.2
341,-16.2
342,-16.2
343,-16.3
344,-16.3
345,-16.3
346,-16.3
347,-16.3
348,-16.3
349,-16.4
350,-16.4
351,-16.4
352,-16.4
353,-16.4
354,-16.4
355,-16.4
356,-16.4
357,-16.4
358,-16.5
359,-16.5
360,-16.5
361,-16.5
362,-16.5
363,-16.5
364,-16.5
365,-16.6
366,-16.6
367,-16.6
368,-16.6
369,-16.6
370,-16.7
371,-16.7
372,-16.7
